timestamp,actual,predicted
2015.9863,1360.7549,1360.7295
2015.989,1360.7837,1360.7413
2015.9918,1360.8573,1360.8501
2015.9945,1360.9703,1360.9645
2015.9973,1361.0718,1361.0891
2016.0,1361.1315,1361.1562
2016.0027,1361.1394,1361.1549
2016.0055,1361.0913,1361.1101
2016.0082,1361.0498,1361.0186
2016.011,1361.0374,1361.0006
2016.0137,1361.0614,1361.0378
2016.0164,1361.0879,1361.1057
2016.0192,1361.102,1361.127
2016.0219,1361.1111,1361.1082
2016.0246,1361.1161,1361.1023
2016.0274,1361.1042,1361.109
2016.0301,1361.09,1361.0897
2016.0329,1361.0851,1361.075
2016.0356,1361.103,1361.0801
2016.0383,1361.1316,1361.1227
2016.0411,1361.1697,1361.163
2016.0438,1361.2101,1361.2042
2016.0465,1361.244,1361.2406
2016.0493,1361.264,1361.2639
2016.052,1361.2323,1361.2699
2016.0548,1361.1672,1361.1885
2016.0575,1361.0865,1361.0914
2016.0602,1361.025,1361.0063
2016.063,1360.9841,1360.9783
2016.0657,1360.9688,1360.9712
2016.0684,1360.9634,1360.9789
2016.0712,1360.9496,1360.9746
2016.0739,1360.9207,1360.9408
2016.0767,1360.9005,1360.8914
2016.0794,1360.886,1360.881
2016.0821,1360.9026,1360.8823
2016.0849,1360.947,1360.9323
2016.0876,1361.0155,1361.004
2016.0903,1361.0874,1361.0868
2016.0931,1361.1399,1361.1512
2016.0958,1361.1737,1361.1733
2016.0986,1361.1787,1361.1836
2016.1013,1361.167,1361.1646
2016.104,1361.1451,1361.1436
2016.1068,1361.1375,1361.12
2016.1095,1361.1372,1361.1313
2016.1123,1361.1425,1361.143
2016.115,1361.1508,1361.1506
2016.1177,1361.1647,1361.1572
2016.1205,1361.1772,1361.1726
2016.1232,1361.1858,1361.1846
2016.1259,1361.1802,1361.1886
2016.1287,1361.1381,1361.1688
2016.1314,1361.0781,1361.0905
2016.1342,1361.0215,1361.0145
2016.1369,1360.9993,1360.971
2016.1396,1361.01,1360.9941
2016.1424,1361.0566,1361.045
2016.1451,1361.1066,1361.119
2016.1478,1361.1332,1361.1584
2016.1506,1361.0973,1361.146
2016.1533,1361.0437,1361.0419
2016.1561,1360.9885,1360.9738
2016.1588,1360.9653,1360.9376
2016.1615,1360.9703,1360.9625
2016.1643,1361.0112,1361.003
2016.167,1361.0847,1361.0671
2016.1697,1361.1456,1361.1589
2016.1725,1361.175,1361.1965
2016.1752,1361.1482,1361.1826
2016.178,1361.1128,1361.0981
2016.1807,1361.086,1361.0602
2016.1834,1361.0864,1361.0623
2016.1862,1361.0963,1361.1019
2016.1889,1361.1039,1361.1223
