timestamp,actual,predicted
2015.9863,1360.7549,1360.7279
2015.989,1360.7837,1360.7396
2015.9918,1360.8573,1360.8491
2015.9945,1360.9703,1360.9608
2015.9973,1361.0718,1361.0886
2016.0,1361.1315,1361.1573
2016.0027,1361.1394,1361.16
2016.0055,1361.0913,1361.1135
2016.0082,1361.0498,1361.0189
2016.011,1361.0374,1360.9971
2016.0137,1361.0614,1361.0325
2016.0164,1361.0879,1361.0991
2016.0192,1361.102,1361.1198
2016.0219,1361.1111,1361.1063
2016.0246,1361.1161,1361.1042
2016.0274,1361.1042,1361.1102
2016.0301,1361.09,1361.0858
2016.0329,1361.0851,1361.0688
2016.0356,1361.103,1361.0763
2016.0383,1361.1316,1361.1212
2016.0411,1361.1697,1361.1604
2016.0438,1361.2101,1361.2015
2016.0465,1361.244,1361.2391
2016.0493,1361.264,1361.2637
2016.052,1361.2323,1361.2687
2016.0548,1361.1672,1361.1862
2016.0575,1361.0865,1361.0881
2016.0602,1361.025,1361.0029
2016.063,1360.9841,1360.9747
2016.0657,1360.9688,1360.9655
2016.0684,1360.9634,1360.9739
2016.0712,1360.9496,1360.972
2016.0739,1360.9207,1360.9414
2016.0767,1360.9005,1360.8927
2016.0794,1360.886,1360.8824
2016.0821,1360.9026,1360.882
2016.0849,1360.947,1360.9307
2016.0876,1361.0155,1361.0017
2016.0903,1361.0874,1361.0863
2016.0931,1361.1399,1361.151
2016.0958,1361.1737,1361.1743
2016.0986,1361.1787,1361.1849
2016.1013,1361.167,1361.1644
2016.104,1361.1451,1361.1412
2016.1068,1361.1375,1361.1156
2016.1095,1361.1372,1361.1271
2016.1123,1361.1425,1361.1385
2016.115,1361.1508,1361.1467
2016.1177,1361.1647,1361.154
2016.1205,1361.1772,1361.1713
2016.1232,1361.1858,1361.1826
2016.1259,1361.1802,1361.1857
2016.1287,1361.1381,1361.1655
2016.1314,1361.0781,1361.0875
2016.1342,1361.0215,1361.0117
2016.1369,1360.9993,1360.9685
2016.1396,1361.01,1360.9918
2016.1424,1361.0566,1361.0406
2016.1451,1361.1066,1361.1154
2016.1478,1361.1332,1361.1567
2016.1506,1361.0973,1361.1472
2016.1533,1361.0437,1361.0433
2016.1561,1360.9885,1360.9741
2016.1588,1360.9653,1360.9358
2016.1615,1360.9703,1360.9583
2016.1643,1361.0112,1360.996
2016.167,1361.0847,1361.0638
2016.1697,1361.1456,1361.1593
2016.1725,1361.175,1361.1976
2016.1752,1361.1482,1361.1831
2016.178,1361.1128,1361.0981
2016.1807,1361.086,1361.0598
2016.1834,1361.0864,1361.0594
2016.1862,1361.0963,1361.0964
2016.1889,1361.1039,1361.1147
2016.1916,1361.1066,1361.1102
2016.1944,1361.0927,1361.1017
2016.1971,1361.0455,1361.0717
2016.1999,1360.9927,1360.9937
2016.2026,1360.9434,1360.9374
2016.2053,1360.9207,1360.9016
2016.2081,1360.9178,1360.913
2016.2108,1360.9202,1360.9326
2016.2136,1360.9053,1360.9335
2016.2163,1360.8766,1360.8932
2016.219,1360.8458,1360.846
