Time,Actual,Predicted
20,1361.8406,1361.832
21,1361.827,1361.8192
22,1361.8588,1361.7966
23,1361.909,1361.8673
24,1361.9614,1361.9264
25,1361.9441,1361.9766
26,1361.931,1361.9052
27,1361.9457,1361.8839
28,1361.9842,1361.948
29,1362.0395,1362.0114
30,1362.0506,1362.0643
31,1362.0294,1362.0397
32,1361.9914,1361.9762
33,1361.9277999999997,1361.9293
34,1361.9145,1361.8617
35,1361.9591,1361.8915
36,1362.0437,1361.9854
37,1362.1461,1362.0781
38,1362.1979,1362.1788
39,1362.1709,1362.2072
40,1362.094,1362.126
41,1361.9426,1362.0116
42,1361.7813,1361.826
43,1361.7791,1361.6704
44,1361.79,1361.7777
45,1361.7857,1361.8087
46,1361.701,1361.7518
47,1361.4418,1361.5863
48,1361.0389,1361.2607
49,1360.5369,1360.6594
50,1360.0839,1360.2021
51,1360.0126,1359.9357
52,1359.9228,1359.9618
53,1360.0893,1360.0271
54,1360.2839,1360.2871
55,1360.5296,1360.5504
56,1360.825,1360.8229
57,1361.0951,1361.0973
58,1361.4037,1361.3925
59,1361.729,1361.6719
60,1362.0666,1361.9512
61,1362.2354,1362.2373
62,1362.2954,1362.3116
63,1362.223,1362.2992
64,1362.0238,1362.1611
65,1361.7738000000002,1361.857
66,1361.5997,1361.6011
67,1361.6212,1361.547
68,1361.6531,1361.6638
69,1361.7293,1361.692
70,1361.7858,1361.7369
71,1361.8312,1361.7844
72,1361.7786,1361.8389
73,1361.6449,1361.7208
74,1361.4665,1361.536
75,1361.3446,1361.3468
76,1361.228,1361.2522
77,1361.2947,1361.1552
78,1361.4591999999998,1361.3563
79,1361.664,1361.6124
80,1361.8745,1361.8065
81,1362.0020000000002,1361.9902
82,1362.0607,1362.0455
83,1361.9619,1362.0754
84,1361.8794,1361.8844
85,1361.7233,1361.7826
86,1361.6327,1361.6147
87,1361.6543,1361.5859
88,1361.8152,1361.6791
89,1361.8491,1361.8835
90,1361.8047,1361.8596
91,1361.7168,1361.7344
92,1361.641,1361.6334
93,1361.4685,1361.5885
94,1361.2687,1361.373
95,1361.0522,1361.1045
96,1360.8535,1360.8643
97,1360.6752,1360.6791
98,1360.5696,1360.5892
99,1360.6665,1360.5544
100,1360.7567,1360.7921
101,1360.9614,1360.9346
102,1361.1859,1361.1324
103,1361.4037,1361.393
104,1361.5449,1361.5647
105,1361.5539,1361.6251
106,1361.5233,1361.551
107,1361.5447,1361.4952
108,1361.575,1361.5581
109,1361.6072,1361.5917
110,1361.6257,1361.6124
111,1361.6653,1361.622
112,1361.7414,1361.6702
113,1361.7655,1361.7666
114,1361.7526,1361.7694
115,1361.7523,1361.7153
116,1361.7603,1361.7292
117,1361.7331,1361.7554
118,1361.6952,1361.6907
119,1361.6933,1361.6483
120,1361.8107,1361.6833
121,1361.9866,1361.8677
