Time,Actual,Predicted
20,1360.4998,1360.5067
21,1360.8202,1360.8987
22,1361.7417,1361.7904
23,1360.4149,1360.4199
24,1361.6008,1361.5792
25,1360.7378,1360.7317
26,1361.3569,1361.3597
27,1360.2346,1360.2582
28,1361.5701,1361.578
29,1361.2552,1361.2657
30,1360.761,1360.76
31,1360.7698,1360.7628
32,1360.3541,1360.3638
33,1362.1824,1362.3203
34,1360.4117,1360.4142
35,1360.3754,1360.3303
36,1360.9198,1360.9164
37,1360.5565,1360.5516
38,1361.1046,1361.2904
39,1360.8021,1360.8462
40,1360.6282,1360.6339
41,1360.3002,1360.2406
42,1360.7472,1360.7384
43,1361.2424,1361.2407
44,1360.8706,1360.8315
45,1360.6699,1360.6707
46,1360.4064,1360.4078
47,1360.9052,1360.9097
48,1360.7429,1360.7363
49,1360.6661,1360.663
50,1360.961,1360.9397
51,1361.036,1361.0076
52,1360.6262,1360.6229
53,1361.3655,1361.3534
54,1360.6471,1360.6447
55,1360.5789,1360.579
56,1360.9022,1360.8956
57,1360.4473,1360.4694
58,1360.8304,1360.7727
59,1360.931,1360.8724
60,1361.0345,1361.0411
61,1360.484,1360.4667
62,1361.7915,1361.7804
63,1360.5776,1360.5795
64,1362.1014,1362.0763
65,1361.2789,1361.2473
66,1360.5925,1360.5944
67,1361.1393,1361.1702
68,1360.4788,1360.4584
69,1360.4736,1360.4846
70,1360.651,1360.6504
71,1361.5713,1361.5942
72,1360.5703,1360.5693
73,1360.97,1360.9889
74,1361.0198,1361.007
75,1360.4877,1360.4813
76,1360.8351,1360.8525
77,1360.8115,1360.7557
78,1360.5336,1360.5374
79,1360.5986,1360.7482
80,1361.0797,1361.0812
81,1361.6389,1361.6938
82,1360.4441,1360.4174
83,1360.6582,1360.6548
84,1360.8181,1360.8074
85,1361.158,1361.1761
86,1361.2003,1361.1924
87,1360.9982,1361.0118
88,1360.9897,1360.9987
89,1361.4249,1361.3984
90,1360.9636,1360.9679
91,1360.8955,1360.8676
