Time,Actual,Predicted
20,6718.031,6716.288
21,6740.104,6743.361
22,6704.5615,6715.302
23,6917.5337,6893.3804
24,6790.9365,6787.6934
25,6853.572,6832.0557
26,6809.6323,6821.396
27,6859.9385,6844.453
28,6756.3345,6751.2983
29,6606.5947,6638.1675
30,6855.3306,6916.075
31,6834.2656,6838.8022
32,6736.8276,6739.018
33,6664.716,6663.6455
34,6759.655,6771.887
35,6793.372,6779.3794
36,6902.551,6875.4976
37,6750.487,6725.3657
38,6700.2896,6717.3076
39,6780.347,6789.009
40,6879.308,6880.702
41,6737.218,6725.915
42,6735.148,6752.3066
43,6770.948,6803.6445
44,6749.0396,6750.313
45,6691.715,6721.18
46,6811.216,6832.9233
47,6876.484,6839.7754
48,6958.522,6942.419
49,6860.098,6859.066
50,6802.7456,6768.0557
51,6747.025,6778.894
52,6751.5537,6726.1094
53,6702.226,6707.4165
54,6840.8184,6822.542
55,6765.956,6746.6523
56,6813.9155,6831.836
57,6797.7007,6747.6494
58,6849.816,6884.5493
59,6750.0127,6795.6343
60,6817.834,6811.1836
61,6798.6694,6870.481
62,6904.5776,6866.871
63,6763.5615,6792.071
64,6865.308,6823.995
65,6638.568,6606.9565
66,6729.102,6751.7495
67,6701.55,6689.29
68,6733.7637,6712.7026
69,6734.3794,6728.131
70,6628.9346,6675.8394
71,6920.644,6901.243
72,6677.315,6700.204
73,6852.595,6822.964
74,6837.8364,6826.21
75,6891.0474,6896.4053
76,6733.515,6707.237
77,6755.71,6741.684
78,6749.8896,6763.112
79,6725.038,6718.347
80,6875.211,6849.3604
81,6790.7046,6787.56
82,6736.817,6748.2417
83,6823.6445,6811.984
84,6892.849,6883.594
85,6816.308,6773.3174
86,6831.3237,6813.37
87,6830.6543,6860.8125
88,6784.8535,6805.211
89,6789.9277,6816.515
90,6786.0737,6786.0317
91,6744.0317,6723.207
92,6713.285,6722.499
93,6787.745,6818.0293
94,6860.9985,6863.7886
95,6797.46,6779.067
96,6761.9473,6755.444
97,6747.5786,6715.101
98,6720.7065,6715.269
99,6712.7266,6718.4194
100,6835.974,6837.3613
101,6806.2305,6844.064
102,6731.3613,6730.173
103,6676.4907,6727.7803
104,6794.084,6801.153
105,6713.6973,6699.751
106,6757.2207,6817.452
107,6744.418,6734.371
108,6914.896,6895.6963
109,6951.0396,6927.5947
110,6678.8086,6705.6045
111,6703.001,6713.4805
112,6966.831,6961.356
113,6888.177,6878.74
114,6697.211,6727.0044
115,6890.1665,6862.176
116,6731.3037,6760.41
117,6777.8267,6768.085
118,6771.7476,6771.365
119,6762.7812,6766.043
120,6716.716,6703.5396
121,6753.34,6761.6187
122,6926.847,6915.912
123,6707.0728,6736.8643
124,6960.1196,6939.5215
125,6905.161,6874.5024
126,6710.0093,6705.1455
127,6731.956,6751.4307
128,6835.2427,6825.4336
129,6914.8213,6926.1924
130,6800.89,6814.206
131,6717.957,6717.294
132,6781.935,6770.863
133,6830.691,6828.969
134,6806.1025,6795.4263
135,6765.162,6801.197
136,6780.805,6768.1807
137,6632.485,6690.3
138,6699.101,6756.5986
139,6739.314,6701.204
140,6895.208,6879.682
141,6839.951,6881.7505
142,6737.8506,6712.7114
143,6699.992,6736.4927
144,6709.704,6765.695
145,6782.671,6755.3745
146,6827.342,6799.1377
147,6718.5454,6724.9604
148,6748.6553,6794.8403
149,6745.3066,6731.89
150,6957.4966,6950.3413
151,6724.4517,6762.494
152,6799.7603,6827.8125
153,6910.306,6892.456
154,6753.433,6744.7427
155,6795.279,6826.855
156,6622.7964,6628.627
157,6898.221,6921.1323
158,6893.576,6876.626
159,6754.6357,6764.4883
160,6842.924,6795.3086
161,6750.8696,6762.5186
162,6737.3726,6743.9214
163,6823.146,6853.302
164,6687.086,6707.0884
165,6721.3765,6764.188
