time,U
1999.163,5.43
1999.1658,0.43
1999.1685,-0.67
1999.1712,2.23
1999.174,0.53
1999.1767,2.23
1999.1795,-2.17
1999.1822,-6.07
1999.1849,-6.97
1999.1877,-6.57
1999.1904,-1.57
1999.1932,-4.97
1999.1959,-3.17
1999.1986,-3.17
1999.2014,-8.47
1999.2041,-7.47
1999.2068,-8.17
1999.2096,-0.77
1999.2123,2.03
1999.2151,5.03
1999.2178,4.83
1999.2205,1.43
1999.2233,1.93
1999.226,3.83
1999.2288,5.83
1999.2315,5.23
1999.2342,4.33
1999.237,5.93
1999.2397,7.53
1999.2425,3.63
1999.2452,-0.77
1999.2479,-0.57
1999.2507,-0.97
1999.2562,2.43
1999.2589,3.23
1999.2616,7.73
1999.2644,8.23
1999.2671,7.93
1999.2699,8.33
1999.2726,9.13
1999.2753,6.93
1999.2781,10.53
1999.2808,6.63
1999.2836,6.03
1999.2863,4.83
1999.289,2.73
1999.2918,6.03
1999.2945,6.23
1999.2973,1.23
1999.3,6.53
1999.3027,3.43
1999.3055,1.03
1999.3082,2.93
1999.311,-0.47
1999.3137,-5.37
1999.3164,-5.27
1999.3192,0.93
1999.3219,4.53
1999.3247,5.73
1999.3274,8.73
1999.3301,5.63
1999.3329,1.63
1999.3356,-3.37
1999.3384,-1.37
1999.3411,-4.47
1999.3438,1.83
1999.3466,2.23
1999.3493,2.63
1999.3521,-0.97
1999.3548,2.23
1999.3575,4.33
1999.3603,3.13
1999.363,5.43
1999.3658,6.03
1999.3685,8.23
1999.3712,3.53
1999.374,8.53
1999.3767,10.03
1999.3795,9.73
1999.3822,10.23
1999.3849,15.13
1999.3877,15.33
1999.3904,9.13
1999.3932,6.53
1999.3959,7.93
1999.3986,7.73
1999.4014,7.03
1999.4041,7.03
1999.4068,7.43
1999.4096,8.73
1999.4123,7.63
1999.4151,7.63
1999.4178,10.83
1999.4205,11.23
1999.4233,11.53
1999.426,11.83
1999.4288,8.33
1999.4315,3.33
1999.4342,7.33
1999.437,4.43
1999.4397,1.63
1999.4425,5.53
1999.4452,8.93
1999.4479,10.53
1999.4507,5.53
1999.4534,9.23
1999.4562,8.53
1999.4589,9.63
1999.4616,9.83
1999.4644,11.93
1999.4671,14.63
1999.4699,12.53
1999.4726,10.03
1999.4753,5.73
1999.4781,7.33
1999.4808,6.33
1999.4836,4.23
1999.4863,2.13
1999.489,8.83
1999.4918,11.23
1999.4945,12.93
1999.4973,9.13
1999.5,7.53
1999.5027,9.23
1999.5055,12.93
1999.5082,10.73
1999.511,8.23
1999.5137,6.53
1999.5164,4.23
1999.5192,6.43
1999.5219,12.63
1999.5247,10.23
1999.5274,13.63
1999.5301,12.83
1999.5329,11.33
1999.5356,13.63
1999.5384,9.73
1999.5411,6.53
1999.5438,7.53
1999.5466,5.63
1999.5493,12.43
1999.5521,10.93
1999.5548,14.73
1999.5575,10.33
1999.5603,12.43
1999.563,7.63
1999.5658,6.93
1999.5685,4.73
1999.5712,2.73
1999.574,6.93
1999.5767,9.43
1999.5795,7.53
1999.5822,10.43
1999.5849,4.33
1999.5877,10.63
1999.5904,12.03
1999.5932,10.83
1999.5959,12.23
1999.5986,13.13
1999.6014,10.23
1999.6041,12.83
1999.6068,7.83
1999.6096,8.03
1999.6123,10.43
1999.6151,8.83
1999.6178,11.93
1999.6205,12.73
1999.6233,12.03
1999.626,15.33
1999.6288,18.23
1999.6315,12.63
1999.6342,9.03
1999.637,7.23
1999.6397,5.43
1999.6425,3.63
1999.6452,4.83
1999.6479,7.43
1999.6507,10.83
1999.6534,10.43
1999.6562,7.83
1999.6589,7.63
1999.6616,10.53
1999.6644,7.93
1999.6671,10.93
1999.6699,10.43
1999.6726,16.03
1999.6753,13.23
1999.6781,10.53
1999.6808,12.83
1999.6836,12.33
1999.6863,13.03
1999.689,16.03
1999.6918,10.73
1999.6945,8.03
1999.6973,10.73
1999.7,9.43
1999.7027,10.83
1999.7055,10.03
1999.7082,15.03
1999.711,15.83
1999.7137,10.73
1999.7164,12.23
1999.7192,16.33
1999.7219,17.93
1999.7247,23.53
1999.7274,15.63
1999.7301,15.93
1999.7329,18.43
1999.7356,17.53
1999.7384,17.13
1999.7411,20.73
1999.7438,23.33
1999.7466,20.03
1999.7493,20.03
1999.7521,18.83
1999.7548,16.63
1999.7575,12.73
1999.7603,10.43
1999.763,5.03
1999.7658,11.23
1999.7685,12.43
1999.7712,11.53
1999.774,13.83
1999.7767,8.23
1999.7795,9.43
1999.7822,10.53
1999.7849,4.33
1999.7877,2.93
1999.7904,2.83
1999.7932,1.83
1999.7959,4.03
1999.7986,9.63
1999.8014,8.13
1999.8041,8.53
1999.8068,10.33
1999.8096,17.33
1999.8123,16.63
1999.8151,19.73
1999.8178,18.73
1999.8205,18.73
1999.8233,13.73
1999.826,9.73
1999.8288,14.43
1999.8315,16.13
1999.8342,14.13
1999.837,16.13
1999.8397,7.33
1999.8452,9.33
1999.8479,9.83
1999.8507,3.93
1999.8534,5.33
1999.8562,0.73
1999.8589,-0.37
1999.8616,9.63
1999.8644,15.23
1999.8671,12.03
1999.8699,12.33
1999.8726,11.53
1999.8753,9.63
1999.8781,10.83
1999.8836,4.73
1999.8863,10.73
1999.889,9.83
1999.8918,7.93
1999.8945,7.93
1999.8973,6.53
1999.9,6.13
1999.9027,12.53
1999.9055,9.13
1999.9082,15.83
1999.911,17.03
1999.9137,18.53
1999.9164,21.93
1999.9192,19.13
1999.9219,14.93
1999.9247,13.33
1999.9274,7.43
1999.9301,6.63
1999.9329,11.33
1999.9356,13.63
1999.9384,10.33
1999.9411,8.73
1999.9438,6.33
1999.9466,15.43
1999.9493,16.23
1999.9521,10.93
1999.9548,9.43
1999.9575,9.23
1999.9603,15.33
1999.963,13.33
1999.9658,8.53
1999.9685,3.43
1999.9712,4.13
1999.974,3.43
1999.9767,5.63
1999.9795,6.73
1999.9822,9.23
1999.9849,10.33
1999.9877,9.53
1999.9904,6.43
1999.9932,1.03
1999.9959,1.33
1999.9986,1.83
2000.0014,2.33
2000.0041,3.13
2000.0068,10.03
2000.0096,14.33
2000.0123,13.33
2000.015,8.13
2000.0178,12.03
2000.0205,10.13
2000.0232,4.33
2000.026,5.43
2000.0287,1.13
2000.0314,0.73
2000.0342,-0.57
2000.0369,1.43
2000.0396,3.93
2000.0423,10.03
2000.0451,14.03
2000.0478,14.03
2000.0505,5.23
2000.0533,8.53
2000.056,7.13
2000.0587,8.43
2000.0615,4.23
2000.0642,6.03
2000.0669,8.83
2000.0697,11.13
2000.0724,12.03
2000.0751,12.53
2000.0779,17.73
2000.0806,12.93
2000.0833,7.23
2000.0861,6.43
2000.0888,6.93
2000.0915,3.23
2000.0943,2.13
2000.097,5.73
2000.0997,12.23
2000.1025,11.03
2000.1052,10.03
2000.1079,9.93
2000.1107,7.83
2000.1134,4.83
2000.1161,0.73
2000.1189,1.93
2000.1216,1.43
2000.1243,0.43
2000.127,3.73
2000.1298,2.53
2000.1325,1.43
2000.1352,0.93
2000.138,-1.67
2000.1407,1.93
2000.1434,0.93
2000.1462,-0.67
2000.1489,3.43
2000.1516,0.83
2000.1544,-0.67
2000.1571,3.83
2000.1598,9.73
2000.1626,5.03
2000.1653,9.03
2000.168,5.43
2000.1708,5.43
2000.1735,2.73
2000.1762,-0.27
2000.179,7.83
2000.1817,7.53
2000.1844,7.23
2000.1872,1.93
2000.1899,-0.97
2000.1926,0.43
2000.1954,2.33
2000.1981,4.33
2000.2008,6.03
2000.2036,3.63
2000.2063,2.23
2000.209,1.93
2000.2117,-0.57
2000.2145,4.93
2000.2172,12.83
2000.2199,8.43
2000.2227,8.83
2000.2254,11.73
2000.2281,7.83
2000.2309,9.73
2000.2336,6.83
2000.2363,5.73
2000.2391,7.23
2000.2418,4.93
2000.2445,14.23
2000.2473,14.63
2000.25,15.93
2000.2527,12.13
2000.2555,12.03
2000.2582,12.83
2000.2609,12.93
2000.2637,5.63
2000.2664,6.53
2000.2691,3.33
2000.2719,9.23
2000.2746,12.03
2000.2773,17.73
2000.2801,16.13
2000.2828,17.53
2000.2855,10.83
2000.2883,13.33
2000.291,14.33
2000.2937,14.93
2000.2964,13.73
2000.2992,11.23
2000.3019,12.63
2000.3046,12.53
2000.3074,11.73
2000.3101,10.23
2000.3128,14.93
2000.3156,11.03
2000.3183,7.33
2000.321,9.83
2000.3238,8.33
2000.3265,9.73
2000.3292,12.13
2000.332,9.53
2000.3347,8.13
2000.3374,11.83
2000.3402,10.83
2000.3429,12.23
2000.3456,11.93
2000.3484,11.33
2000.3511,11.03
2000.3538,12.53
2000.3566,8.93
2000.3593,11.13
2000.362,13.43
2000.3648,16.63
2000.3675,13.93
2000.3702,15.73
2000.373,15.03
2000.3757,20.83
2000.3784,22.63
2000.3811,18.53
2000.3839,18.63
2000.3866,16.63
2000.3893,14.03
2000.3921,16.93
2000.3948,13.83
2000.3975,17.63
2000.4003,13.73
2000.403,14.53
2000.4057,16.03
2000.4085,14.43
2000.4112,10.13
2000.4139,12.33
2000.4167,6.33
2000.4194,9.93
2000.4221,13.33
2000.4249,13.03
2000.4276,13.43
2000.4303,14.03
2000.4331,13.03
2000.4358,12.43
2000.4385,13.23
2000.4413,16.63
2000.444,15.93
2000.4467,12.73
2000.4495,9.53
2000.4522,8.53
2000.4549,12.13
2000.4577,9.53
2000.4604,4.23
2000.4631,6.13
2000.4658,11.73
2000.4686,13.73
2000.4713,18.83
2000.474,17.63
2000.4768,12.83
2000.4795,13.03
2000.4822,12.63
2000.485,14.33
2000.4877,10.53
2000.4904,12.53
2000.4932,16.53
2000.4959,13.23
2000.4986,8.23
2000.5014,11.23
2000.5041,10.03
2000.5068,15.03
2000.5096,13.03
2000.5123,15.23
2000.515,12.93
2000.5178,15.43
2000.5205,15.33
2000.5232,17.93
2000.526,17.13
2000.5287,17.53
2000.5314,15.93
2000.5342,10.53
2000.5369,13.83
2000.5396,9.33
2000.5423,12.13
2000.5451,15.13
2000.5478,2.93
2000.5505,5.73
2000.5533,7.83
2000.556,10.23
2000.5587,5.53
2000.5615,15.73
2000.5642,16.03
2000.5669,17.53
2000.5697,14.63
2000.5724,15.43
2000.5751,11.63
2000.5779,10.53
2000.5806,19.63
2000.5833,15.83
2000.5861,15.23
2000.5888,10.03
2000.5915,11.73
2000.5943,15.73
2000.597,13.53
2000.5997,14.33
2000.6025,14.43
2000.6052,14.03
2000.6079,11.73
2000.6107,16.03
2000.6134,15.23
2000.6161,12.43
2000.6189,8.93
2000.6216,16.53
2000.6243,22.13
2000.627,21.23
2000.6298,12.03
2000.6325,13.03
2000.6352,24.23
2000.638,15.33
2000.6407,14.33
2000.6434,15.03
2000.6462,16.63
2000.6489,15.43
2000.6516,14.43
2000.6544,14.03
2000.6571,9.73
2000.6598,8.83
2000.6626,10.83
2000.6653,15.53
2000.668,17.73
2000.6708,19.03
2000.6735,12.73
2000.6762,13.43
2000.679,13.43
2000.6817,15.33
2000.6844,16.53
2000.6872,16.73
2000.6899,10.23
2000.6926,17.23
2000.6954,16.03
2000.6981,15.33
2000.7008,11.73
2000.7036,13.83
2000.7063,14.73
2000.709,17.03
2000.7117,19.03
2000.7145,19.43
2000.7172,18.03
2000.7199,17.93
2000.7227,18.13
2000.7254,13.23
2000.7281,12.93
2000.7309,15.63
2000.7336,13.73
2000.7363,14.43
2000.7391,21.13
2000.7418,24.73
2000.7445,25.83
2000.7473,24.83
2000.75,23.03
2000.7527,26.13
2000.7555,22.93
2000.7582,19.63
2000.7609,22.83
2000.7637,22.93
2000.7664,14.83
2000.7691,22.63
2000.7719,22.43
2000.7746,17.83
2000.7773,24.43
2000.7801,22.53
2000.7828,21.53
2000.7855,21.03
2000.7883,24.03
2000.791,22.53
2000.7937,17.93
2000.7964,14.83
2000.7992,14.33
2000.8019,10.63
2000.8046,17.33
2000.8074,15.63
2000.8101,17.43
2000.8128,18.83
2000.8156,27.03
2000.8183,25.63
2000.821,18.23
2000.8238,14.33
2000.8265,21.03
2000.8292,23.53
2000.832,21.43
2000.8347,21.83
2000.8374,17.83
2000.8402,17.53
