time,value
1848.0417,6245
1848.125,6880
1848.2083,6700
1848.2917,6775
1848.375,6580
1848.4583,6685
1848.5417,6695
1848.625,6745
1848.7083,6655
1848.7917,6665
1848.875,6865
1848.9583,6575
1849.0417,6760
1849.125,6720
1849.2083,6650
1849.2917,6580
1849.375,6625
1849.4583,6705
1849.5417,6675
1849.625,6680
1849.7083,6575
1849.7917,6675
1849.875,6660
1849.9583,6690
1850.0417,6535
1850.125,7045
1850.2083,6655
1850.2917,6660
1850.375,6625
1850.4583,6655
1850.5417,6690
1850.625,6720
1850.7083,6620
1850.7917,6745
1850.875,6785
1850.9583,6780
1851.0417,6600
1851.125,6625
1851.2083,6675
1851.2917,6730
1851.375,6685
1851.4583,6705
1851.5417,6680
1851.625,6780
1851.7083,6690
1851.7917,6785
1851.875,6785
1851.9583,6595
1852.0417,6800
1852.125,6860
1852.2083,6540
1852.2917,6510
1852.375,6625
1852.4583,6720
1852.5417,6585
1852.625,6735
1852.7083,6715
1852.7917,6855
1852.875,6785
1852.9583,6805
1853.0417,6810
1853.125,6620
1853.2083,6505
1853.2917,6755
1853.375,6635
1853.4583,6775
1853.5417,6770
1853.625,6675
1853.7083,6795
1853.7917,6685
1853.875,6465
1853.9583,6430
1854.0417,6570
1854.125,6890
1854.2083,6565
1854.2917,6580
1854.375,6625
1854.4583,6655
1854.5417,6670
1854.625,6725
1854.7083,6695
1854.7917,6705
1854.875,6740
1854.9583,7120
1855.0417,6665
1855.125,6540
1855.2083,6700
1855.2917,6675
1855.375,6670
1855.4583,6630
1855.5417,6725
1855.625,6710
1855.7083,6610
1855.7917,6850
1855.875,6545
1855.9583,6585
1856.0417,6705
1856.125,6630
1856.2083,6395
1856.2917,6575
1856.375,6700
1856.4583,6745
1856.5417,6725
1856.625,6720
1856.7083,6745
1856.7917,6555
1856.875,6840
1856.9583,6795
1857.0417,6620
1857.125,6525
1857.2083,6575
1857.2917,6605
1857.375,6520
1857.4583,6600
1857.5417,6705
1857.625,6545
1857.7083,6630
1857.7917,6650
1857.875,6515
1857.9583,6605
1858.0417,6565
1858.125,6430
1858.2083,6655
1858.2917,6560
1858.375,6565
1858.4583,6570
1858.5417,6700
1858.625,6660
1858.7083,6600
1858.7917,6680
1858.875,6550
1858.9583,6610
1859.0417,6665
1859.125,6760
1859.2083,6840
1859.2917,6720
1859.375,6555
1859.4583,6775
1859.5417,6630
1859.625,6690
1859.7083,6730
1859.7917,6695
1859.875,6735
1859.9583,6620
1860.0417,6815
1860.125,6785
1860.2083,6785
1860.2917,6780
1860.375,6720
1860.4583,6730
1860.5417,6715
1860.625,6825
1860.7083,6755
1860.7917,6885
1860.875,6605
1860.9583,6620
1861.0417,6600
1861.125,6720
1861.2083,6905
1861.2917,6625
1861.375,6630
1861.4583,6660
1861.5417,6750
1861.625,6800
1861.7083,6770
1861.7917,6570
1861.875,6925
1861.9583,6650
1862.0417,6710
1862.125,6710
1862.2083,6650
1862.2917,6650
1862.375,6620
1862.4583,6760
1862.5417,6805
1862.625,6695
1862.7083,6595
1862.7917,6830
1862.875,6630
1862.9583,6875
1863.0417,6870
1863.125,6730
1863.2083,6640
1863.2917,6680
1863.375,6595
1863.4583,6675
1863.5417,6695
1863.625,6695
1863.7083,6780
1863.7917,6670
1863.875,6700
1863.9583,6910
1864.0417,6485
1864.125,6670
1864.2083,6740
1864.2917,6585
1864.375,6645
1864.4583,6740
1864.5417,6750
1864.625,6735
1864.7083,6705
1864.7917,6625
1864.875,6610
1864.9583,6430
1865.0417,6795
1865.125,6745
1865.2083,6610
1865.2917,6590
1865.375,6670
1865.4583,6605
1865.5417,6685
1865.625,6715
1865.7083,6620
1865.7917,6730
1865.875,6635
1865.9583,6520
1866.0417,6780
1866.125,6985
1866.2083,6640
1866.2917,6660
1866.375,6685
1866.4583,6685
1866.5417,6810
1866.625,6855
1866.7083,6855
1866.7917,6570
1866.875,7015
1866.9583,6970
