time,value,kalman_value
1865.0417,6855,6666.1544217764185
1865.125,6505,6654.823687083003
1865.2083,6585,6650.984136743738
1865.2917,6515,6650.44379324166
1865.375,6655,6656.675639401666
1865.4583,6645,6662.991267531754
1865.5417,6715,6670.20645903843
1865.625,6705,6675.181973497028
1865.7083,6665,6678.666586630477
1865.7917,6695,6682.834529095449
1865.875,6705,6686.394198015195
1865.9583,6575,6689.0235768357
1866.0417,6855,6697.354134497989
1866.125,6895,6697.802398885179
1866.2083,6485,6688.390783216628
1866.2917,6525,6689.148706708908
1866.375,6635,6698.1140655366335
1866.4583,6645,6710.23512764119
1866.5417,6785,6725.617946127807
1866.625,6805,6738.031661920814
1866.7083,6805,6747.096960809862
1866.7917,6565,6753.267107739403
1866.875,7045,6768.850610055914
1866.9583,6925,6770.6266428752215
1867.0417,6685,6764.684007838289
1867.125,6905,6762.725573193272
1867.2083,6545,6753.653417207918
1867.2917,6845,6755.01393208296
1867.375,6605,6751.875143562151
1867.4583,6705,6756.080112219448
1867.5417,6825,6762.839086487717
1867.625,6685,6766.490015080373
1867.7083,6805,6774.215444427047
1867.7917,6865,6780.4016459950735
1867.875,6965,6782.357929862854
1867.9583,6815,6775.182110223776
1868.0417,6655,6766.015396095888
1868.125,6955,6762.399451772794
1868.2083,6715,6749.153480038341
1868.2917,6645,6737.6151823058035
1868.375,6605,6730.707643688556
1868.4583,6705,6730.0854872557375
1868.5417,6705,6730.717605185706
1868.625,6765,6732.635603374959
1868.7083,6695,6732.93538173296
1868.7917,6875,6735.131929177609
1868.875,6805,6730.335073081139
1868.9583,6705,6721.8049706387255
1869.0417,6575,6714.115116728249
1869.125,6945,6713.381018654184
1869.2083,6505,6701.065971512829
1869.2917,6525,6698.554222947115
1869.375,6645,6704.720185528757
1869.4583,6725,6713.872157386836
1869.5417,6645,6722.467737114258
1869.625,6735,6734.936703697393
1869.7083,6865,6747.402505465397
1869.7917,6985,6753.9884325066705
1869.875,7125,6749.023781173278
1869.9583,6775,6725.260318898549
1870.0417,6635,6699.009872568748
1870.125,6265,6675.959919867384
1870.2083,6625,6673.45796315939
1870.2917,6605,6673.378904609364
1870.375,6655,6676.718791289807
1870.4583,6685,6681.14461753474
1870.5417,6645,6685.37767465641
1870.625,6775,6691.6296155109
1870.7083,6765,6693.713037140936
1870.7917,6865,6692.232110628018
1870.875,6755,6682.112789646501
1870.9583,6585,6668.349108147309
1871.0417,6485,6658.7528820554835
1871.125,6565,6657.844300066431
1871.2083,6605,6661.577933080701
1871.2917,6675,6668.140462749006
1871.375,6665,6674.360015554761
1871.4583,6725,6681.047569138254
1871.5417,6755,6685.53750117866
1871.625,6725,6686.554308277999
1871.7083,6725,6685.648830791238
1871.7917,6645,6682.7757948440385
1871.875,6685,6681.791548639041
1871.9583,6775,6680.646879865995
1872.0417,6645,6674.784555086249
1872.125,6445,6670.411458060816
1872.2083,6645,6677.308933938423
1872.2917,6705,6685.821856512952
1872.375,6675,6693.375871913128
1872.4583,6665,6701.848680908961
1872.5417,6745,6712.163923950242
1872.625,6745,6720.837363189035
1872.7083,6945,6728.30267058728
1872.7917,6745,6724.933111514889
1872.875,6825,6720.5602080182425
1872.9583,6685,6710.965314922508
1873.0417,6745,6702.668687572898
1873.125,6525,6692.255494601934
1873.2083,6465,6690.205076361066
1873.2917,6585,6699.414911938251
1873.375,6695,6714.345493112349
1873.4583,6745,6730.243348942064
1873.5417,6755,6745.403372218882
1873.625,6825,6760.083564106645
1873.7083,6875,6771.51793419974
1873.7917,6865,6777.778201002822
1873.875,6865,6779.6773778560455
1873.9583,6885,6777.310423602071
1874.0417,6925,6769.5589905282
1874.125,6585,6754.035506980739
1874.2083,6785,6746.963798782315
1874.2917,6695,6737.990280523007
1874.375,6585,6731.166276289849
1874.4583,6725,6731.6505858711835
1874.5417,6705,6732.467424746077
1874.625,6805,6734.657634858275
1874.7083,6805,6733.330726713386
1874.7917,6875,6728.420354904167
1874.875,6745,6716.181000840155
1874.9583,6735,6702.500696818152
1875.0417,6704,6687.195427637057
1875.125,6455,6671.0499298378145
1875.2083,6565,6665.706928530462
1875.2917,6591,6665.399273649633
1875.375,6660,6668.811582451285
1875.4583,6668,6672.664470375502
1875.5417,6656,6676.750581818494
1875.625,6704,6681.8742223524105
1875.7083,6733,6685.891574003947
1875.7917,6617,6687.553504355682
1875.875,6801,6692.743109925201
1875.9583,6770,6692.519870990979
1876.0417,6465,6688.422625606307
1876.125,6685,6695.4965115019495
1876.2083,6885,6703.09522297269
1876.2917,6555,6701.598695592064
1876.375,6575,6707.4321029910425
1876.4583,6685,6719.887115539573
1876.5417,6765,6734.086483865081
1876.625,6785,6746.740176383844
1876.7083,6855,6757.4808777217995
1876.7917,6745,6763.345622945844
1876.875,6685,6770.127649317182
1876.9583,6625,6781.166058154378
1877.0417,7005,6800.012769899294
1877.125,7065,6808.610120139174
1877.2083,6885,6804.387976386013
1877.2917,6675,6796.135231452153
1877.375,6705,6793.9392480909
1877.4583,6765,6796.190227134192
1877.5417,6825,6800.000717534194
1877.625,6845,6802.561243810906
1877.7083,6825,6802.999832278162
1877.7917,6905,6802.338412359327
1877.875,6865,6796.543913058458
1877.9583,6725,6787.326609410513
1878.0417,6805,6781.225636233093
1878.125,6635,6773.935944867328
1878.2083,6995,6773.593050744928
1878.2917,6605,6762.179809159776
1878.375,6715,6758.625558032612
1878.4583,6765,6757.252584807079
1878.5417,6845,6755.4922408219
1878.625,6765,6749.256508877816
1878.7083,6865,6742.233602377622
1878.7917,6745,6729.07237599631
1878.875,6705,6715.114768414814
1878.9583,6725,6701.662899254057
1879.0417,6525,6687.044175056004
1879.125,6615,6680.5276596107515
1879.2083,6545,6677.287527146036
1879.2917,6615,6680.661771038623
1879.375,6605,6687.31910348314
1879.4583,6765,6698.092391101814
1879.5417,6815,6705.520298275579
1879.625,6745,6707.474220363123
1879.7083,6735,6707.5518534688235
1879.7917,6775,6706.2570792479655
1879.875,6755,6701.525158989505
1879.9583,6675,6694.119496680521
1880.0417,6615,6687.669809205561
1880.125,6695,6684.85361219088
1880.2083,6525,6681.530095785743
1880.2917,6625,6686.033084169892
1880.375,6625,6693.5877267625365
1880.4583,6735,6704.571755693308
1880.5417,6735,6714.034372408744
1880.625,6705,6722.448707744618
1880.7083,6745,6731.735478467723
1880.7917,6845,6740.359023114213
1880.875,6915,6743.750518916415
1880.9583,7085,6738.579540664437
1881.0417,6675,6716.087539445682
1881.125,6493,6695.649915199209
1881.2083,6595,6685.344786712698
1881.2917,6523,6679.556897561822
1881.375,6531,6681.5968532890365
1881.4583,6659,6691.166651680703
1881.5417,6729,6702.344782656404
1881.625,6886,6712.190152764926
1881.7083,6638,6713.345030511694
1881.7917,6749,6718.267159784046
1881.875,6799,6721.652647045601
1881.9583,6765,6721.170766659436
1882.0417,6750,6718.497424606242
1882.125,6785,6714.248953783361
1882.2083,6750,6706.462930649647
1882.2917,6550,6696.500054048416
1882.375,6620,6693.862180149606
1882.4583,6740,6694.9174152582755
1882.5417,6700,6693.718521129859
1882.625,6915,6692.205553057936
1882.7083,6655,6679.5528626389105
1882.7917,6625,6668.12781535183
1882.875,6805,6658.859158832341
1882.9583,6520,6642.283460254468
1883.0417,6600,6631.821934689319
1883.125,6560,6622.951505858637
1883.2083,6525,6617.228652320886
1883.2917,6435,6616.117231399179
1883.375,6590,6624.061672047432
