sampling,period,time
44285.5,1361.4149,1980.1287
44286.5,1361.4832,1980.1314
44287.5,1361.5564,1980.1342
44288.5,1361.6602,1980.1369
44289.5,1361.6791,1980.1396
44290.5,1361.7094,1980.1424
44291.5,1361.6023,1980.1451
44292.5,1361.5565,1980.1478
44293.5,1361.581,1980.1506
44294.5,1361.6965,1980.1533
44295.5,1361.8451,1980.1561
44296.5,1362.0404,1980.1588
44297.5,1362.0636,1980.1615
44298.5,1362.1049,1980.1643
44299.5,1362.0318,1980.167
44300.5,1362.0478,1980.1697
44301.5,1362.0276,1980.1725
44302.5,1361.9662,1980.1752
44303.5,1361.8858,1980.178
44304.5,1361.8685,1980.1807
44305.5,1361.8406,1980.1834
44306.5,1361.827,1980.1862
44307.5,1361.8588,1980.1889
44308.5,1361.909,1980.1916
44309.5,1361.9614,1980.1944
44310.5,1361.9441,1980.1971
44311.5,1361.931,1980.1999
44312.5,1361.9457,1980.2026
44313.5,1361.9842,1980.2053
44314.5,1362.0395,1980.2081
44315.5,1362.0506,1980.2108
44316.5,1362.0294,1980.2136
44317.5,1361.9914,1980.2163
44318.5,1361.9278,1980.219
44319.5,1361.9145,1980.2218
44320.5,1361.9591,1980.2245
44321.5,1362.0437,1980.2272
44322.5,1362.1461,1980.23
44323.5,1362.1979,1980.2327
44324.5,1362.1709,1980.2355
44325.5,1362.094,1980.2382
44326.5,1361.9426,1980.2409
44327.5,1361.7813,1980.2437
44328.5,1361.7791,1980.2464
44329.5,1361.79,1980.2491
44330.5,1361.7857,1980.2519
44331.5,1361.701,1980.2546
44332.5,1361.4418,1980.2574
44333.5,1361.0389,1980.2601
44334.5,1360.5369,1980.2628
44335.5,1360.0839,1980.2656
44336.5,1360.0126,1980.2683
44337.5,1359.9228,1980.271
44338.5,1360.0893,1980.2738
44339.5,1360.2839,1980.2765
44340.5,1360.5296,1980.2793
44341.5,1360.825,1980.282
44342.5,1361.0951,1980.2847
44343.5,1361.4037,1980.2875
44344.5,1361.729,1980.2902
44345.5,1362.0666,1980.293
44346.5,1362.2354,1980.2957
44347.5,1362.2954,1980.2984
44348.5,1362.223,1980.3012
44349.5,1362.0238,1980.3039
44350.5,1361.7738,1980.3066
44351.5,1361.5997,1980.3094
44352.5,1361.6212,1980.3121
44353.5,1361.6531,1980.3149
44354.5,1361.7293,1980.3176
44355.5,1361.7858,1980.3203
44356.5,1361.8312,1980.3231
44357.5,1361.7786,1980.3258
44358.5,1361.6449,1980.3285
44359.5,1361.4665,1980.3313
44360.5,1361.3446,1980.334
44361.5,1361.228,1980.3368
44362.5,1361.2947,1980.3395
44363.5,1361.4592,1980.3422
44364.5,1361.664,1980.345
44365.5,1361.8745,1980.3477
44366.5,1362.002,1980.3504
44367.5,1362.0607,1980.3532
44368.5,1361.9619,1980.3559
44369.5,1361.8794,1980.3587
44370.5,1361.7233,1980.3614
44371.5,1361.6327,1980.3641
44372.5,1361.6543,1980.3669
44373.5,1361.8152,1980.3696
44374.5,1361.8491,1980.3723
44375.5,1361.8047,1980.3751
44376.5,1361.7168,1980.3778
44377.5,1361.641,1980.3806
44378.5,1361.4685,1980.3833
44379.5,1361.2687,1980.386
44380.5,1361.0522,1980.3888
44381.5,1360.8535,1980.3915
44382.5,1360.6752,1980.3943
44383.5,1360.5696,1980.397
44384.5,1360.6665,1980.3997
44385.5,1360.7567,1980.4025
44386.5,1360.9614,1980.4052
44387.5,1361.1859,1980.4079
44388.5,1361.4037,1980.4107
44389.5,1361.5449,1980.4134
44390.5,1361.5539,1980.4162
44391.5,1361.5233,1980.4189
44392.5,1361.5447,1980.4216
44393.5,1361.575,1980.4244
44394.5,1361.6072,1980.4271
44395.5,1361.6257,1980.4298
44396.5,1361.6653,1980.4326
44397.5,1361.7414,1980.4353
44398.5,1361.7655,1980.4381
44399.5,1361.7526,1980.4408
44400.5,1361.7523,1980.4435
44401.5,1361.7603,1980.4463
44402.5,1361.7331,1980.449
44403.5,1361.6952,1980.4517
44404.5,1361.6933,1980.4545
44405.5,1361.8107,1980.4572
44406.5,1361.9866,1980.46
44407.5,1362.0887,1980.4627
44408.5,1362.2094,1980.4654
44409.5,1362.1243,1980.4682
44410.5,1361.9178,1980.4709
44411.5,1361.6892,1980.4736
44412.5,1361.5488,1980.4764
44413.5,1361.4918,1980.4791
44414.5,1361.5023,1980.4819
44415.5,1361.5729,1980.4846
44416.5,1361.653,1980.4873
44417.5,1361.7017,1980.4901
44418.5,1361.6229,1980.4928
44419.5,1361.5504,1980.4956
44420.5,1361.6224,1980.4983
44421.5,1361.6689,1980.501
44422.5,1361.6118,1980.5038
44423.5,1361.5785,1980.5065
44424.5,1361.5548,1980.5092
44425.5,1361.6028,1980.512
44426.5,1361.5999,1980.5147
44427.5,1361.5727,1980.5175
44428.5,1361.5622,1980.5202
44429.5,1361.5524,1980.5229
44430.5,1361.4707,1980.5257
44431.5,1361.3739,1980.5284
44432.5,1361.283,1980.5311
44433.5,1361.2817,1980.5339
44434.5,1361.3256,1980.5366
44435.5,1361.3406,1980.5394
44436.5,1361.3414,1980.5421
44437.5,1361.3186,1980.5448
44438.5,1361.2986,1980.5476
44439.5,1361.3772,1980.5503
44440.5,1361.4617,1980.553
44441.5,1361.6171,1980.5558
44442.5,1361.8214,1980.5585
44443.5,1362.0312,1980.5613
44444.5,1362.2581,1980.564
44445.5,1362.3346,1980.5667
44446.5,1362.2546,1980.5695
44447.5,1362.1401,1980.5722
44448.5,1362.0453,1980.5749
44449.5,1361.9278,1980.5777
44450.5,1361.829,1980.5804
44451.5,1361.7859,1980.5832
44452.5,1361.7982,1980.5859
44453.5,1361.8638,1980.5886
44454.5,1361.858,1980.5914
44455.5,1361.8138,1980.5941
44456.5,1361.7834,1980.5969
44457.5,1361.7676,1980.5996
44458.5,1361.7763,1980.6023
44459.5,1361.8215,1980.6051
44460.5,1361.8937,1980.6078
44461.5,1361.9825,1980.6105
44462.5,1362.0533,1980.6133
44463.5,1362.1028,1980.616
44464.5,1362.1712,1980.6188
44465.5,1362.2422,1980.6215
44466.5,1362.1688,1980.6242
44467.5,1362.0318,1980.627
44468.5,1361.9483,1980.6297
44469.5,1361.9183,1980.6324
44470.5,1361.8544,1980.6352
44471.5,1361.8333,1980.6379
44472.5,1361.8263,1980.6407
44473.5,1361.7675,1980.6434
44474.5,1361.6399,1980.6461
44475.5,1361.5201,1980.6489
44476.5,1361.4506,1980.6516
44477.5,1361.3871,1980.6543
44478.5,1361.229,1980.6571
44479.5,1361.0742,1980.6598
44480.5,1360.7913,1980.6626
44481.5,1360.5049,1980.6653
44482.5,1360.3376,1980.668
44483.5,1360.2347,1980.6708
44484.5,1360.2314,1980.6735
44485.5,1360.4142,1980.6762
44486.5,1360.8088,1980.679
44487.5,1361.1992,1980.6817
44488.5,1361.6232,1980.6845
44489.5,1361.9312,1980.6872
44490.5,1362.1014,1980.6899
44491.5,1362.1473,1980.6927
44492.5,1362.1661,1980.6954
44493.5,1362.0976,1980.6982
44494.5,1361.9726,1980.7009
44495.5,1361.8643,1980.7036
44496.5,1361.8203,1980.7064
44497.5,1361.8486,1980.7091
44498.5,1361.8924,1980.7118
44499.5,1361.9149,1980.7146
44500.5,1361.9029,1980.7173
44501.5,1361.8101,1980.7201
44502.5,1361.6371,1980.7228
44503.5,1361.4747,1980.7255
44504.5,1361.353,1980.7283
44505.5,1361.4188,1980.731
44506.5,1361.5647,1980.7337
44507.5,1361.7679,1980.7365
44508.5,1361.9086,1980.7392
44509.5,1361.919,1980.742
44510.5,1361.8881,1980.7447
44511.5,1361.8722,1980.7474
44512.5,1361.9178,1980.7502
44513.5,1362.0101,1980.7529
44514.5,1362.0918,1980.7556
44515.5,1362.1329,1980.7584
44516.5,1362.1402,1980.7611
44517.5,1362.1285,1980.7639
44518.5,1361.9831,1980.7666
44519.5,1361.8543,1980.7693
44520.5,1361.5732,1980.7721
44521.5,1361.2804,1980.7748
44522.5,1361.0065,1980.7775
44523.5,1360.8693,1980.7803
44524.5,1360.9183,1980.783
44525.5,1361.1502,1980.7858
44526.5,1361.5239,1980.7885
44527.5,1361.9061,1980.7912
44528.5,1362.0623,1980.794
44529.5,1361.9838,1980.7967
44530.5,1361.7306,1980.7995
44531.5,1361.4346,1980.8022
44532.5,1361.2089,1980.8049
44533.5,1361.0675,1980.8077
44534.5,1361.1547,1980.8104
44535.5,1361.2439,1980.8131
44536.5,1361.4912,1980.8159
44537.5,1361.6753,1980.8186
44538.5,1361.7799,1980.8214
44539.5,1361.8161,1980.8241
44540.5,1361.7979,1980.8268
44541.5,1361.716,1980.8296
44542.5,1361.5489,1980.8323
44543.5,1361.3908,1980.835
44544.5,1361.2204,1980.8378
44545.5,1360.971,1980.8405
44546.5,1360.7074,1980.8433
44547.5,1360.4725,1980.846
44548.5,1360.3017,1980.8487
44549.5,1360.207,1980.8515
44550.5,1360.1817,1980.8542
44551.5,1360.1409,1980.8569
44552.5,1360.2083,1980.8597
44553.5,1360.3188,1980.8624
44554.5,1360.4891,1980.8652
44555.5,1360.6894,1980.8679
44556.5,1360.9346,1980.8706
44557.5,1361.1382,1980.8734
44558.5,1361.3434,1980.8761
44559.5,1361.4758,1980.8789
44560.5,1361.5293,1980.8816
44561.5,1361.5797,1980.8843
44562.5,1361.6243,1980.8871
44563.5,1361.7079,1980.8898
44564.5,1361.8105,1980.8925
44565.5,1361.8527,1980.8953
44566.5,1361.9093,1980.898
44567.5,1361.9175,1980.9008
44568.5,1361.917,1980.9035
44569.5,1361.9148,1980.9062
44570.5,1361.8197,1980.909
44571.5,1361.7011,1980.9117
44572.5,1361.6196,1980.9144
44573.5,1361.6054,1980.9172
44574.5,1361.6013,1980.9199
44575.5,1361.7108,1980.9227
44576.5,1361.8678,1980.9254
44577.5,1361.9982,1980.9281
44578.5,1362.1329,1980.9309
44579.5,1362.2736,1980.9336
44580.5,1362.3444,1980.9363
44581.5,1362.2057,1980.9391
44582.5,1362.0876,1980.9418
44583.5,1361.9528,1980.9446
44584.5,1361.7413,1980.9473
44585.5,1361.5541,1980.95
44586.5,1361.345,1980.9528
44587.5,1361.0803,1980.9555
44588.5,1360.6764,1980.9582
44589.5,1360.71,1980.961
44590.5,1360.7376,1980.9637
44591.5,1360.812,1980.9665
44592.5,1360.9079,1980.9692
44593.5,1360.9556,1980.9719
44594.5,1360.9047,1980.9747
44595.5,1361.162,1980.9774
44596.5,1361.4376,1980.9802
44597.5,1361.5599,1980.9829
44598.5,1361.6914,1980.9856
44599.5,1361.6268,1980.9884
44600.5,1361.5315,1980.9911
44601.5,1361.5582,1980.9938
44602.5,1361.7702,1980.9966
44603.5,1361.9755,1980.9993
44604.5,1362.139,1981.0021
44605.5,1362.1607,1981.0048
44606.5,1362.2022,1981.0075
44607.5,1362.2556,1981.0103
44608.5,1362.2018,1981.013
44609.5,1362.3767,1981.0157
44610.5,1362.4624,1981.0185
44611.5,1362.4802,1981.0212
44612.5,1362.5184,1981.024
44613.5,1362.5193,1981.0267
44614.5,1362.5466,1981.0294
44615.5,1362.5407,1981.0322
44616.5,1362.4965,1981.0349
44617.5,1362.4124,1981.0376
44618.5,1362.2754,1981.0404
44619.5,1362.2059,1981.0431
44620.5,1362.3806,1981.0459
44621.5,1362.3323,1981.0486
44622.5,1362.307,1981.0513
44623.5,1362.1948,1981.0541
44624.5,1362.3366,1981.0568
44625.5,1362.4494,1981.0595
44626.5,1362.4066,1981.0623
44627.5,1362.3056,1981.065
44628.5,1362.2783,1981.0678
44629.5,1362.2731,1981.0705
44630.5,1362.2538,1981.0732
44631.5,1362.2639,1981.076
44632.5,1362.2027,1981.0787
44633.5,1361.9882,1981.0815
44634.5,1361.7518,1981.0842
44635.5,1361.5425,1981.0869
44636.5,1361.5407,1981.0897
44637.5,1361.5479,1981.0924
44638.5,1361.7279,1981.0951
44639.5,1361.7386,1981.0979
44640.5,1361.4855,1981.1006
44641.5,1361.5884,1981.1034
44642.5,1361.552,1981.1061
44643.5,1361.5152,1981.1088
44644.5,1361.5173,1981.1116
44645.5,1361.5279,1981.1143
44646.5,1361.5439,1981.117
44647.5,1361.594,1981.1198
44648.5,1361.5175,1981.1225
44649.5,1361.5052,1981.1253
44650.5,1361.408,1981.128
44651.5,1361.385,1981.1307
44652.5,1361.4869,1981.1335
44653.5,1361.5967,1981.1362
44654.5,1361.6709,1981.1389
44655.5,1361.6466,1981.1417
44656.5,1361.4467,1981.1444
44657.5,1361.3381,1981.1472
44658.5,1361.3956,1981.1499
44659.5,1361.2573,1981.1526
44660.5,1361.2046,1981.1554
44661.5,1361.1548,1981.1581
44662.5,1361.117,1981.1608
44663.5,1361.146,1981.1636
44664.5,1361.3446,1981.1663
44665.5,1361.4434,1981.1691
44666.5,1361.5139,1981.1718
44667.5,1361.628,1981.1745
44668.5,1361.5742,1981.1773
44669.5,1361.5299,1981.18
44670.5,1361.5046,1981.1828
44671.5,1361.5437,1981.1855
44672.5,1361.632,1981.1882
44673.5,1361.7449,1981.191
44674.5,1361.8383,1981.1937
44675.5,1361.8981,1981.1964
44676.5,1361.8223,1981.1992
44677.5,1361.7604,1981.2019
44678.5,1361.8703,1981.2047
44679.5,1361.9487,1981.2074
44680.5,1361.9513,1981.2101
44681.5,1361.7947,1981.2129
44682.5,1361.62,1981.2156
44683.5,1361.391,1981.2183
44684.5,1361.474,1981.2211
44685.5,1361.5646,1981.2238
44686.5,1361.6429,1981.2266
44687.5,1361.6314,1981.2293
44688.5,1361.7004,1981.232
44689.5,1361.759,1981.2348
44690.5,1361.8164,1981.2375
44691.5,1361.9415,1981.2402
44692.5,1362.0936,1981.243
44693.5,1362.2644,1981.2457
44694.5,1362.3442,1981.2485
44695.5,1362.4277,1981.2512
44696.5,1362.4132,1981.2539
44697.5,1362.3407,1981.2567
44698.5,1362.1772,1981.2594
44699.5,1361.9304,1981.2621
44700.5,1361.7651,1981.2649
44701.5,1361.6127,1981.2676
44702.5,1361.4654,1981.2704
44703.5,1361.2613,1981.2731
44704.5,1361.18,1981.2758
44705.5,1361.0446,1981.2786
44706.5,1361.0045,1981.2813
44707.5,1361.1214,1981.2841
44708.5,1361.2397,1981.2868
44709.5,1361.3035,1981.2895
44710.5,1361.2131,1981.2923
44711.5,1361.28,1981.295
44712.5,1361.5197,1981.2977
44713.5,1361.6409,1981.3005
44714.5,1361.6843,1981.3032
44715.5,1361.6433,1981.306
44716.5,1361.6129,1981.3087
44717.5,1361.781,1981.3114
44718.5,1361.9695,1981.3142
44719.5,1362.0934,1981.3169
44720.5,1362.0787,1981.3196
44721.5,1362.0686,1981.3224
44722.5,1362.0883,1981.3251
44723.5,1362.1119,1981.3279
44724.5,1362.1545,1981.3306
44725.5,1362.2405,1981.3333
44726.5,1362.1085,1981.3361
44727.5,1361.8961,1981.3388
44728.5,1361.7333,1981.3415
44729.5,1361.5909,1981.3443
44730.5,1361.6503,1981.347
44731.5,1361.6833,1981.3498
44732.5,1361.7277,1981.3525
44733.5,1361.6297,1981.3552
44734.5,1361.4858,1981.358
44735.5,1361.4587,1981.3607
44736.5,1361.4684,1981.3634
44737.5,1361.4708,1981.3662
44738.5,1361.2733,1981.3689
44739.5,1361.2305,1981.3717
44740.5,1361.1911,1981.3744
44741.5,1361.2255,1981.3771
44742.5,1361.2523,1981.3799
44743.5,1361.3373,1981.3826
44744.5,1361.5937,1981.3854
44745.5,1361.7946,1981.3881
44746.5,1361.8087,1981.3908
44747.5,1361.847,1981.3936
44748.5,1361.8995,1981.3963
44749.5,1361.8096,1981.399
44750.5,1361.7511,1981.4018
44751.5,1361.7847,1981.4045
44752.5,1361.9131,1981.4073
44753.5,1361.966,1981.41
44754.5,1361.8285,1981.4127
44755.5,1361.747,1981.4155
44756.5,1361.678,1981.4182
44757.5,1361.8526,1981.4209
44758.5,1362.0047,1981.4237
44759.5,1361.9679,1981.4264
44760.5,1361.9434,1981.4292
44761.5,1361.9494,1981.4319
44762.5,1361.9392,1981.4346
44763.5,1361.8879,1981.4374
44764.5,1361.8517,1981.4401
44765.5,1361.7904,1981.4428
44766.5,1361.7108,1981.4456
44767.5,1361.6637,1981.4483
44768.5,1361.5764,1981.4511
44769.5,1361.505,1981.4538
44770.5,1361.4719,1981.4565
44771.5,1361.5537,1981.4593
44772.5,1361.6445,1981.462
44773.5,1361.8235,1981.4648
44774.5,1361.8741,1981.4675
44775.5,1361.7933,1981.4702
44776.5,1361.7106,1981.473
44777.5,1361.5767,1981.4757
44778.5,1361.4096,1981.4784
44779.5,1361.3381,1981.4812
44780.5,1361.272,1981.4839
44781.5,1361.1046,1981.4867
44782.5,1361.0638,1981.4894
44783.5,1361.0544,1981.4921
44784.5,1361.0313,1981.4949
44785.5,1360.943,1981.4976
44786.5,1361.0841,1981.5003
44787.5,1361.2258,1981.5031
44788.5,1361.4846,1981.5058
44789.5,1361.6958,1981.5086
44790.5,1361.7377,1981.5113
44791.5,1361.6796,1981.514
44792.5,1361.6562,1981.5168
44793.5,1361.6852,1981.5195
44794.5,1361.5936,1981.5222
44795.5,1361.5118,1981.525
44796.5,1361.4639,1981.5277
44797.5,1361.3979,1981.5305
44798.5,1361.3538,1981.5332
44799.5,1361.3039,1981.5359
44800.5,1361.1835,1981.5387
44801.5,1361.0969,1981.5414
44802.5,1360.9712,1981.5441
44803.5,1360.8441,1981.5469
44804.5,1360.6063,1981.5496
44805.5,1360.2708,1981.5524
44806.5,1359.7748,1981.5551
44807.5,1359.3429,1981.5578
44808.5,1359.1026,1981.5606
44809.5,1359.0011,1981.5633
44810.5,1359.1835,1981.5661
44811.5,1359.3328,1981.5688
44812.5,1359.679,1981.5715
44813.5,1360.0604,1981.5743
44814.5,1360.4014,1981.577
44815.5,1360.7237,1981.5797
44816.5,1361.0343,1981.5825
44817.5,1361.203,1981.5852
44818.5,1361.1534,1981.588
44819.5,1361.1057,1981.5907
44820.5,1361.0344,1981.5934
44821.5,1360.9458,1981.5962
44822.5,1360.7759,1981.5989
44823.5,1360.6315,1981.6016
44824.5,1360.6667,1981.6044
44825.5,1360.8677,1981.6071
44826.5,1361.1872,1981.6099
44827.5,1361.5093,1981.6126
44828.5,1361.8111,1981.6153
44829.5,1361.8852,1981.6181
44830.5,1361.6784,1981.6208
44831.5,1361.4604,1981.6235
44832.5,1361.2901,1981.6263
44833.5,1361.2119,1981.629
44834.5,1361.2511,1981.6318
44835.5,1361.294,1981.6345
44836.5,1361.5125,1981.6372
44837.5,1361.6198,1981.64
44838.5,1361.6365,1981.6427
44839.5,1361.6418,1981.6454
44840.5,1361.565,1981.6482
44841.5,1361.4199,1981.6509
44842.5,1361.4801,1981.6537
44843.5,1361.5481,1981.6564
44844.5,1361.6639,1981.6591
44845.5,1361.7761,1981.6619
44846.5,1361.8172,1981.6646
44847.5,1361.8676,1981.6674
44848.5,1361.8116,1981.6701
44849.5,1361.711,1981.6728
44850.5,1361.4968,1981.6756
44851.5,1361.2906,1981.6783
44852.5,1361.0139,1981.681
44853.5,1360.8613,1981.6838
44854.5,1360.6718,1981.6865
44855.5,1360.9974,1981.6893
44856.5,1361.1935,1981.692
44857.5,1361.2273,1981.6947
44858.5,1361.2645,1981.6975
44859.5,1361.4259,1981.7002
44860.5,1361.6004,1981.7029
44861.5,1361.7214,1981.7057
44862.5,1361.7133,1981.7084
44863.5,1361.7047,1981.7112
44864.5,1361.6311,1981.7139
44865.5,1361.7245,1981.7166
44866.5,1361.8301,1981.7194
44867.5,1361.9463,1981.7221
44868.5,1361.9914,1981.7248
44869.5,1362.049,1981.7276
44870.5,1362.161,1981.7303
44871.5,1362.207,1981.7331
44872.5,1362.2126,1981.7358
44873.5,1362.1074,1981.7385
44874.5,1362.0213,1981.7413
44875.5,1361.894,1981.744
44876.5,1361.9388,1981.7467
44877.5,1362.0623,1981.7495
44878.5,1362.1042,1981.7522
44879.5,1362.1266,1981.755
44880.5,1362.0096,1981.7577
44881.5,1361.7773,1981.7604
44882.5,1361.5581,1981.7632
44883.5,1361.5832,1981.7659
44884.5,1361.6687,1981.7687
44885.5,1361.6087,1981.7714
44886.5,1361.3902,1981.7741
44887.5,1361.0174,1981.7769
44888.5,1360.6199,1981.7796
44889.5,1360.2898,1981.7823
44890.5,1359.9463,1981.7851
44891.5,1359.7765,1981.7878
