time,value
51544.5,3.0135
51545.5,6.6965
51546.5,4.0412
51547.5,1.9739
51548.5,0.7047
51549.5,0.1283
51550.5,3.5768
51551.5,0.9168
51552.5,1.9714
51555.5,5.1375
51556.5,4.4629
51557.5,3.0943
51558.5,1.4616
51559.5,2.8518
51560.5,0.5104
51561.5,4.6349
51562.5,2.3468
51563.5,3.6754
51564.5,1.482
51565.5,0.3041
51566.5,4.1732
51567.5,3.285
51568.5,3.5017
51569.5,6.9249
51570.5,0.1232
51571.5,-0.5674
51572.5,-0.7873
51573.5,2.1876
51574.5,5.8905
51575.5,0.0262
51576.5,1.3633
51577.5,2.2397
51578.5,0.9753
51579.5,-0.5937
51580.5,1.1729
51581.5,0.7826
51582.5,1.2226
51583.5,0.3512
51584.5,1.8192
51585.5,1.3058
51586.5,3.9062
51587.5,8.2315
51588.5,3.6794
51589.5,0.7572
51591.5,5.8952
51592.5,-0.1105
51594.5,2.0927
51595.5,-5.4407
51596.5,1.184
51600.5,0.2621
51601.5,5.7285
51602.5,1.8763
51603.5,7.4871
51604.5,2.1243
51605.5,4.8345
51606.5,2.5106
51607.5,-0.1808
51608.5,1.0399
51609.5,1.7648
51610.5,-0.3102
51611.5,2.4438
51612.5,3.1221
51613.5,0.421
51614.5,2.1887
51615.5,1.8317
51616.5,0.75
51617.5,1.1705
51618.5,-1.546
51619.5,4.6066
51620.5,1.4971
51621.5,2.0579
51622.5,1.9334
51623.5,-4.0149
51624.5,-0.5764
51625.5,1.0382
51626.5,0.5277
51627.5,0.6166
51628.5,1.9744
51629.5,1.8391
51630.5,1.5352
51631.5,3.5452
51632.5,9.574
51633.5,-3.2688
51634.5,-6.4542
51635.5,-10.2669
51636.5,0.1154
51637.5,0.0822
51638.5,1.2336
51639.5,1.8487
51640.5,1.0371
51644.5,-3.4096
51645.5,-1.536
51646.5,-1.2266
51647.5,-0.1896
51648.5,1.1657
51649.5,2.9849
51650.5,-0.433
51651.5,3.3833
51653.5,-4.8348
51654.5,2.6636
51655.5,-6.7339
51656.5,0.6637
51657.5,-1.4746
51658.5,0.8549
51659.5,-1.4191
51660.5,-0.0039
51661.5,4.0687
51662.5,4.0063
51663.5,-0.2979
51664.5,1.1353
51665.5,0.9367
51666.5,1.2918
51667.5,0.3583
51668.5,-0.2432
51669.5,2.8763
51670.5,8.1479
51671.5,4.2813
51672.5,1.1176
51673.5,7.4768
51674.5,9.4868
51675.5,-0.1655
51676.5,0.0566
51677.5,0.3373
51678.5,-0.7984
51679.5,10.3697
51680.5,4.1529
51681.5,3.0011
51682.5,-1.6261
51683.5,0.7131
51685.5,-0.0935
51686.5,2.6418
51687.5,4.6968
51688.5,2.6455
51689.5,2.3977
51690.5,1.5144
51691.5,1.4414
51692.5,1.2443
51693.5,1.0437
51694.5,0.7209
51695.5,1.2022
51696.5,-1.1028
51697.5,0.3339
51698.5,-0.5048
51699.5,4.8838
51700.5,1.5927
51701.5,-0.7519
51702.5,-0.7831
51703.5,1.603
51704.5,-0.2318
51705.5,-2.395
51706.5,-2.5112
51707.5,-1.9799
51708.5,-2.1995
51709.5,3.569
51710.5,4.2413
51711.5,0.3263
51712.5,1.7851
51713.5,-2.168
51714.5,2.814
51715.5,4.7135
51717.5,-0.1129
51718.5,-2.6253
51719.5,0.233
51720.5,3.2985
51721.5,0.433
51723.5,-0.5503
51724.5,-2.3126
51725.5,-3.366
51726.5,1.7056
51727.5,-2.9468
51728.5,1.0566
51729.5,1.0661
51730.5,2.123
51731.5,1.1986
51732.5,1.2062
51733.5,-1.235
51734.5,0.4669
51735.5,0.1794
51736.5,-2.4428
51738.5,-1.0711
51739.5,2.0057
51740.5,-0.8511
51741.5,0.0456
51742.5,2.0774
51743.5,-0.8754
51744.5,-2.8134
51745.5,-0.9741
51746.5,-1.3677
51747.5,-3.2471
51748.5,-1.3201
51749.5,0.1044
51750.5,-1.8334
51751.5,0.6525
51752.5,1.6015
51753.5,1.5955
51754.5,0.611
51755.5,-3.0443
51756.5,0.9384
51757.5,2.5798
51758.5,-0.8957
51759.5,0.2255
51760.5,2.6208
51761.5,1.5105
51762.5,1.3237
51763.5,-0.2411
51764.5,0.1171
51765.5,-0.0761
51766.5,-2.3947
51767.5,1.0156
51768.5,-1.576
51769.5,-3.6801
51770.5,-0.2558
51771.5,2.2713
51772.5,-0.461
51773.5,-0.7941
51774.5,4.5765
51775.5,0.4408
51776.5,-0.8599
51777.5,-4.0329
51778.5,3.373
51779.5,-2.9779
51780.5,-1.235
51781.5,2.3285
51782.5,2.0318
51783.5,5.3981
51784.5,-0.3027
51785.5,-3.3542
51786.5,2.2796
51787.5,-0.7292
51788.5,2.4804
51789.5,-2.0904
51790.5,-0.8447
51791.5,-1.3737
51792.5,-0.399
51793.5,-0.1306
51794.5,-2.7796
51795.5,0.6213
51796.5,0.1028
51797.5,-0.2048
51798.5,-1.2683
51800.5,0.4854
51801.5,3.8451
51802.5,-2.0252
51804.5,4.6787
51805.5,-1.2289
51806.5,-0.7893
51808.5,-1.5258
51809.5,2.6796
51810.5,0.8842
51811.5,-0.7953
51812.5,2.1124
51813.5,-0.8349
51814.5,0.0548
51815.5,-0.3341
51816.5,-3.4202
51817.5,-0.3906
51818.5,1.2454
51819.5,1.5812
51820.5,3.5659
51821.5,7.0718
51822.5,1.4697
51823.5,1.27
51824.5,-1.11
51825.5,1.7233
51826.5,-3.2777
51827.5,1.4519
51828.5,-1.0786
51829.5,-0.4308
51830.5,-2.1409
51831.5,-1.7506
51832.5,-1.5136
51833.5,-1.1847
51834.5,1.4845
51835.5,1.2084
51836.5,-2.391
51837.5,-0.0861
51838.5,-1.3875
51839.5,-1.4883
51840.5,-5.1454
51841.5,-1.7234
51842.5,3.8138
51843.5,-0.5436
51844.5,-0.2756
51845.5,1.792
51846.5,7.9454
51847.5,2.0415
51848.5,-0.1704
51849.5,0.4199
51850.5,-1.7738
51851.5,-3.6519
51852.5,-2.617
51853.5,-1.821
51854.5,-3.421
51855.5,-2.9278
51856.5,-1.578
51857.5,1.0247
51858.5,1.6973
51859.5,-0.0869
51860.5,-0.9077
51861.5,0.7299
51862.5,0.9182
51863.5,-1.0368
51864.5,-0.7346
51865.5,-0.0303
51866.5,-0.9145
51867.5,0.0769
51868.5,-0.5183
51869.5,2.1938
51870.5,-0.8823
51871.5,-2.4136
51872.5,-0.2459
51873.5,0.0505
51874.5,0.5495
51875.5,0.102
51876.5,-0.9264
51877.5,-0.082
51878.5,-0.1407
51879.5,-1.3476
51880.5,-0.8666
51881.5,-2.5158
51882.5,-0.307
51883.5,-0.9985
51884.5,0.826
51885.5,1.5307
51886.5,0.3205
51887.5,1.0572
51888.5,0.4156
51889.5,3.2486
51890.5,0.5121
51891.5,1.6948
51892.5,1.2715
51893.5,0.6321
51894.5,0.1222
51895.5,-0.2555
51896.5,-2.8142
51897.5,0.5721
51898.5,-2.0246
51899.5,-1.7092
51900.5,-0.1474
51901.5,-1.606
51902.5,-2.4004
51903.5,-1.2585
51904.5,-2.9152
51905.5,-2.8524
51906.5,-3.6157
51907.5,-2.7716
51908.5,-2.396
51909.5,-2.8516
51910.5,-3.5879
51911.5,-1.8081
51912.5,-2.009
51913.5,-2.4356
51914.5,-4.0962
51915.5,-1.5855
51916.5,-2.6875
51917.5,-2.0894
51918.5,-1.9773
51919.5,-0.7406
51920.5,-2.3091
51921.5,-3.4465
51922.5,-1.6867
51923.5,0.2069
51924.5,-1.1774
51925.5,-4.2016
51926.5,-3.6977
51927.5,-3.0639
51928.5,-2.8162
51929.5,-3.1904
51930.5,-0.946
51931.5,0.3434
51932.5,-1.4118
51933.5,1.7859
51934.5,-0.3857
51935.5,0.5109
51936.5,0.0659
51937.5,-0.5743
51938.5,0.4682
51939.5,-4.2135
51940.5,-2.545
51941.5,-3.3238
51942.5,-1.1836
51943.5,-3.593
51944.5,-1.5612
51945.5,-1.6132
51946.5,1.9933
51947.5,-0.3786
51948.5,-0.1758
51949.5,-2.6972
51950.5,0.1461
51951.5,-0.6124
51952.5,1.1394
51953.5,-2.4122
51954.5,-0.184
51955.5,0.1603
51956.5,2.1393
