time,value
1865.0417,6855
1865.2083,6585
1865.375,6655
1865.5417,6715
1865.625,6705
1865.7083,6665
1865.7917,6695
1865.875,6705
1865.9583,6575
1866.0417,6855
1866.125,6895
1866.2917,6525
1866.375,6635
1866.4583,6645
1866.5417,6785
1866.625,6805
1866.7083,6805
1866.7917,6565
1866.9583,6925
1867.0417,6685
1867.125,6905
1867.2917,6845
1867.375,6605
1867.4583,6705
1867.5417,6825
1867.625,6685
1867.7083,6805
1867.7917,6865
1867.875,6965
1867.9583,6815
1868.0417,6655
1868.125,6955
1868.2083,6715
1868.2917,6645
1868.375,6605
1868.4583,6705
1868.5417,6705
1868.625,6765
1868.7083,6695
1868.7917,6875
1868.875,6805
1868.9583,6705
1869.0417,6575
1869.2917,6525
1869.375,6645
1869.4583,6725
1869.5417,6645
1869.625,6735
1869.7083,6865
1869.7917,6985
1869.875,7125
1869.9583,6775
1870.0417,6635
1870.2083,6625
1870.2917,6605
1870.375,6655
1870.4583,6685
1870.5417,6645
1870.625,6775
1870.7083,6765
1870.7917,6865
1870.875,6755
1870.9583,6585
1871.0417,6485
1871.125,6565
1871.2083,6605
1871.2917,6675
1871.375,6665
1871.4583,6725
1871.5417,6755
1871.625,6725
1871.7083,6725
1871.7917,6645
1871.875,6685
1871.9583,6775
1872.0417,6645
1872.2083,6645
1872.2917,6705
1872.375,6675
1872.4583,6665
1872.5417,6745
1872.625,6745
1872.7083,6945
1872.7917,6745
1872.875,6825
1872.9583,6685
1873.0417,6745
1873.125,6525
1873.2917,6585
1873.375,6695
1873.4583,6745
1873.5417,6755
1873.625,6825
1873.7083,6875
1873.7917,6865
1873.875,6865
1873.9583,6885
1874.0417,6925
1874.125,6585
1874.2083,6785
1874.2917,6695
1874.375,6585
1874.4583,6725
1874.5417,6705
1874.625,6805
1874.7083,6805
1874.7917,6875
1874.875,6745
1874.9583,6735
1875.0417,6704
1875.2083,6565
1875.2917,6591
1875.375,6660
1875.4583,6668
1875.5417,6656
1875.625,6704
1875.7083,6733
1875.7917,6617
1875.875,6801
1875.9583,6770
1876.125,6685
1876.2083,6885
1876.2917,6555
1876.375,6575
1876.4583,6685
1876.5417,6765
1876.625,6785
1876.7083,6855
1876.7917,6745
1876.875,6685
1876.9583,6625
1877.125,7065
1877.2083,6885
1877.2917,6675
1877.375,6705
1877.4583,6765
1877.5417,6825
1877.625,6845
1877.7083,6825
1877.7917,6905
1877.875,6865
1877.9583,6725
1878.0417,6805
1878.125,6635
1878.375,6715
1878.4583,6765
1878.5417,6845
1878.625,6765
1878.7083,6865
1878.7917,6745
1878.875,6705
1878.9583,6725
1879.0417,6525
1879.125,6615
1879.2083,6545
1879.2917,6615
1879.375,6605
1879.4583,6765
1879.5417,6815
1879.625,6745
1879.7083,6735
1879.7917,6775
1879.875,6755
1879.9583,6675
1880.0417,6615
1880.125,6695
1880.2083,6525
1880.2917,6625
1880.375,6625
1880.4583,6735
1880.5417,6735
1880.625,6705
1880.7083,6745
1880.7917,6845
1880.875,6915
1880.9583,7085
1881.125,6493
1881.2083,6595
1881.2917,6523
1881.375,6531
1881.4583,6659
1881.5417,6729
1881.625,6886
1881.7083,6638
1881.7917,6749
1881.875,6799
1881.9583,6765
1882.0417,6750
1882.125,6785
1882.2083,6750
1882.2917,6550
1882.375,6620
1882.4583,6740
1882.5417,6700
1882.625,6915
1882.7083,6655
1882.7917,6625
1882.875,6805
1882.9583,6520
1883.0417,6600
1883.125,6560
1883.2083,6525
1883.875,6860
1883.9583,6945
1884.0417,6895
1884.2083,6505
1884.375,6635
1884.4583,6655
1884.5417,6635
1884.625,6615
1884.7083,6685
1884.7917,6875
1884.9583,6835
1885.125,6690
1885.2083,6665
1885.2917,6532
1885.375,6691
1885.4583,6653
1885.5417,6616
1885.625,6725
1885.7083,6758
1885.7917,6820
1885.875,6565
1885.9583,6879
1886.0417,6704
1886.2917,6586
1886.4583,6716
1886.5417,6731
1886.625,6715
1886.7083,6715
1886.875,6731
1886.9583,6917
1887.125,6543
1887.2083,6593
1887.2917,6580
1887.375,6613
1887.4583,6636
1887.5417,6675
1887.625,6770
1887.7083,6784
1887.7917,6932
1887.875,6704
1887.9583,6882
1888.0417,6640
1888.2083,6523
1888.2917,6562
1888.375,6626
1888.4583,6586
1888.5417,6818
1888.625,6791
1888.7083,6650
1888.7917,6823
1888.875,6665
1888.9583,6735
1889.0417,6622
1889.125,6893
1889.2083,6677
1889.2917,6564
1889.375,6573
1889.4583,6629
1889.5417,6724
1889.625,6826
1889.7083,6821
1889.7917,6616
1889.875,6749
1889.9583,6648
1890.0417,6838
1890.2083,6708
1890.2917,6649
1890.375,6651
1890.4583,6674
1890.5417,6763
1890.625,6728
1890.7083,6638
1890.7917,6945
1890.875,6686
1891.0417,6668
1891.125,6529
1891.2083,6815
1891.375,6626
1891.4583,6622
1891.5417,6748
1891.625,6803
1891.7083,6778
1891.7917,6689
1891.875,6664
1891.9583,6889
1892.0417,6785
1892.125,6729
1892.2083,6518
1892.2917,6617
1892.375,6646
1892.4583,6712
1892.5417,6681
1892.625,6723
1892.7083,6726
1892.7917,6756
1892.875,6653
1892.9583,6805
1893.0417,6641
1893.125,6786
1893.2083,6799
1893.2917,6576
1893.375,6637
1893.4583,6664
1893.5417,6687
1893.625,6756
1893.7083,6828
1893.7917,6957
1893.875,6803
1893.9583,6748
1894.0417,6615
1894.125,6842
1894.2083,6659
1894.2917,6519
1894.375,6576
1894.4583,6674
1894.5417,6683
1894.625,6786
1894.7083,6718
1894.7917,6671
1894.875,6795
1894.9583,6956
1895.125,6553
1895.2083,6661
1895.2917,6672
1895.375,6643
1895.4583,6658
1895.5417,6812
1895.625,6770
1895.7083,6706
1895.7917,6887
1895.875,6624
1895.9583,6830
1896.0417,6728
1896.125,6548
1896.2083,6779
1896.2917,6704
1896.375,6657
1896.4583,6716
1896.5417,6730
1896.625,6731
1896.7083,6818
1896.7917,6717
1896.875,6677
1896.9583,6602
1897.0417,6531
1897.125,6682
1897.2083,6732
1897.2917,6615
1897.375,6732
1897.4583,6672
1897.5417,6782
1897.625,6736
1897.7083,6851
1897.7917,6669
1897.875,6703
1897.9583,6703
1898.0417,6843
1898.125,6999
1898.2083,6635
1898.2917,6582
1898.375,6765
1898.4583,6704
1898.5417,6837
1898.625,6751
1898.7083,6734
1898.7917,6586
1898.875,6643
1899.0417,6837
1899.125,6676
1899.2083,6701
1899.2917,6686
1899.375,6647
1899.4583,6666
1899.5417,6703
1899.625,6700
1899.7083,6901
1899.7917,6773
1899.875,6927
1899.9583,6571
1900.0417,6693
1900.125,6609
1900.2083,6599
1900.2917,6593
1900.375,6634
1900.4583,6637
1900.5417,6714
1900.625,6707
1900.7083,6812
1900.7917,6960
1900.875,6650
1900.9583,6907
1901.0417,6716
1901.125,6658
1901.2083,6547
1901.2917,6651
1901.375,6546
1901.4583,6661
1901.5417,6609
1901.625,6738
1901.7083,6653
1901.7917,6793
1901.875,6932
1901.9583,6814
1902.0417,7043
1902.2083,6755
1902.2917,6513
1902.375,6725
1902.4583,6647
1902.5417,6770
1902.625,6728
1902.7083,6596
1902.7917,6666
1903.0417,6765
1903.125,6947
1903.2083,6726
1903.2917,6908
1903.375,6646
1903.4583,6645
1903.5417,6787
1903.625,6890
1903.7083,6730
1903.7917,6884
1903.875,6984
1904.0417,6680
1904.125,6745
1904.2917,6754
1904.375,6658
1904.4583,6691
1904.5417,6642
1904.625,6722
1904.7917,6727
1904.875,6856
1904.9583,6800
1905.0417,6725
1905.125,6704
1905.2083,6504
1905.2917,6641
1905.375,6569
1905.4583,6602
1905.5417,6701
1905.625,6662
1905.7083,6672
1905.7917,6812
1906.0417,6731
1906.125,6676
1906.2083,6862
1906.4583,6641
1906.5417,6724
1906.625,6753
1906.7083,6685
1906.7917,6723
1906.875,6798
1906.9583,6887
1907.0417,6767
1907.125,6777
1907.2083,6685
1907.2917,6595
1907.375,6645
1907.4583,6715
1907.5417,6715
1907.625,6814
1907.7083,6647
1907.7917,6665
1907.875,6617
1907.9583,6677
1908.0417,6770
1908.125,6914
1908.2917,6666
1908.375,6660
1908.4583,6660
1908.5417,6697
1908.625,6794
1908.7083,6672
1908.7917,6529
1908.875,6854
1908.9583,6641
1909.0417,6813
1909.125,6645
1909.2083,6601
1909.2917,6666
1909.375,6601
1909.4583,6684
1909.5417,6840
1909.625,6809
1909.7083,6767
1909.7917,6838
1909.875,6877
1909.9583,6812
1910.0417,6923
1910.125,6785
1910.2083,6614
1910.2917,6694
1910.375,6673
1910.4583,6746
1910.5417,6809
1910.625,6751
1910.7083,6754
1910.7917,6610
1910.875,6921
1910.9583,6815
1911.0417,6727
1911.125,6969
1911.2083,6639
1911.2917,6738
1911.375,6671
1911.4583,6722
1911.5417,6726
1911.625,6800
1911.7083,6829
1911.7917,6784
