time,value,kalman_value
1865.0417,6855,6781.271362570704
1865.2083,6585,6719.830831379624
1865.375,6655,6703.333910648419
1865.5417,6715,6702.948293466687
1865.625,6705,6698.54544077385
1865.7083,6665,6691.991068338963
1865.7917,6695,6694.43371868373
1865.875,6705,6696.687608589742
1865.9583,6575,6696.170701359001
1866.0417,6855,6736.044027914594
1866.125,6895,6736.265363775051
1866.2917,6525,6683.575154227191
1866.375,6635,6683.743329421729
1866.4583,6645,6700.159281090177
1866.5417,6785,6734.9616597886825
1866.625,6805,6753.084591750084
1866.7083,6805,6753.90238762818
1866.7917,6565,6737.687646049002
1866.9583,6925,6779.035453152825
1867.0417,6685,6771.728411307588
1867.125,6905,6793.330839898215
1867.2917,6845,6777.71021512158
1867.375,6605,6739.6596620521395
1867.4583,6705,6746.495663000079
1867.5417,6825,6767.16355161471
1867.625,6685,6768.552624100912
1867.7083,6805,6797.792571287418
1867.7917,6865,6824.630042236395
1867.875,6965,6838.010860597503
1867.9583,6815,6809.061965824446
1868.0417,6655,6778.133726326205
1868.125,6955,6788.250062270032
1868.2083,6715,6742.783085637203
1868.2917,6645,6706.577137550108
1868.375,6605,6690.896901979716
1868.4583,6705,6703.848967069229
1868.5417,6705,6716.417354515152
1868.625,6765,6732.791526799458
1868.7083,6695,6738.42954135025
1868.7917,6875,6758.544069684458
1868.875,6805,6739.839954580152
1868.9583,6705,6699.415824335898
1869.0417,6575,6657.13030220361
1869.2917,6525,6642.221547472524
1869.375,6645,6666.386641898947
1869.4583,6725,6697.680616958353
1869.5417,6645,6719.868131003877
1869.625,6735,6767.011688717361
1869.7083,6865,6824.825809336631
1869.7917,6985,6869.248533068113
1869.875,7125,6875.087434488965
1869.9583,6775,6797.6221474061385
1870.0417,6635,6727.697576125358
1870.2083,6625,6688.672196886363
1870.2917,6605,6670.870883276157
1870.375,6655,6675.026530758003
1870.4583,6685,6685.857688492517
1870.5417,6645,6696.974742391203
1870.625,6775,6725.41671042029
1870.7083,6765,6737.3309152561405
1870.7917,6865,6740.022091844037
1870.875,6755,6701.05396571328
1870.9583,6585,6644.1038281536175
1871.0417,6485,6606.854966645161
1871.125,6565,6610.224427351757
1871.2083,6605,6628.668697175606
1871.2917,6675,6655.002532724657
1871.375,6665,6674.670545848594
1871.4583,6725,6697.562074255396
1871.5417,6755,6711.307627413995
1871.625,6725,6710.489056377259
1871.7083,6725,6704.833504132942
1871.7917,6645,6692.455786599607
1871.875,6685,6695.896664599473
1871.9583,6775,6702.969764132497
1872.0417,6645,6686.03278504302
1872.2083,6645,6682.7734009678825
1872.2917,6705,6692.105150548706
1872.375,6675,6697.1386169790985
1872.4583,6665,6709.551622402524
1872.5417,6745,6736.81516862679
1872.625,6745,6761.350437726654
1872.7083,6945,6791.335852735402
1872.7917,6745,6770.099885322617
1872.875,6825,6757.2305463507055
1872.9583,6685,6721.771389495695
1873.0417,6745,6698.569362472583
1873.125,6525,6659.890456273664
1873.2917,6585,6666.1750354993
1873.375,6695,6699.51795989137
1873.4583,6745,6734.366870913897
1873.5417,6755,6765.67140557439
1873.625,6825,6800.533075426345
1873.7083,6875,6827.239103753748
1873.7917,6865,6838.024833332401
1873.875,6865,6839.81884068852
1873.9583,6885,6833.219128274146
1874.0417,6925,6809.359125284488
1874.125,6585,6746.952164056325
1874.2083,6785,6738.5292575136045
1874.2917,6695,6714.616103475419
1874.375,6585,6697.241650595706
1874.4583,6725,6717.281081247896
1874.5417,6705,6734.747538982717
1874.625,6805,6762.129843045111
1874.7083,6805,6775.222094789207
1874.7917,6875,6778.388378129706
1874.875,6745,6749.350787513441
1874.9583,6735,6721.763459401656
1875.0417,6704,6689.763951090423
1875.2083,6565,6653.019093142664
1875.2917,6591,6645.613932909126
1875.375,6660,6656.41341697863
1875.4583,6668,6666.017373374344
1875.5417,6656,6674.960454228173
1875.625,6704,6690.223686491393
1875.7083,6733,6700.894814251744
1875.7917,6617,6700.864213429343
1875.875,6801,6728.788350416724
1875.9583,6770,6732.641937543013
1876.125,6685,6724.042837183641
1876.2083,6885,6728.4580158854815
1876.2917,6555,6680.692533215816
1876.375,6575,6674.82456161809
1876.4583,6685,6702.231443893061
1876.5417,6765,6735.382140799052
1876.625,6785,6758.660217971394
1876.7083,6855,6773.158367800867
1876.7917,6745,6760.375973563963
1876.875,6685,6752.718903848379
1876.9583,6625,6767.634802082256
1877.125,7065,6830.095634343552
1877.2083,6885,6814.255011386031
1877.2917,6675,6774.832725557187
1877.375,6705,6768.688014914072
1877.4583,6765,6783.772642575646
1877.5417,6825,6805.114817762437
1877.625,6845,6819.82859887004
1877.7083,6825,6826.151912934323
1877.7917,6905,6832.859197976713
1877.875,6865,6815.519549011342
1877.9583,6725,6781.686416383083
1878.0417,6805,6766.748755882519
1878.125,6635,6739.060680676128
1878.375,6715,6746.059499028447
1878.4583,6765,6763.411483723582
1878.5417,6845,6780.233962993244
1878.625,6765,6775.467763260654
1878.7083,6865,6774.190817948282
1878.7917,6745,6742.644145285336
1878.875,6705,6710.312187717502
1878.9583,6725,6679.750959388834
1879.0417,6525,6634.106717523112
1879.125,6615,6624.831381498427
1879.2083,6545,6618.833172639885
1879.2917,6615,6637.44602132797
1879.375,6605,6663.540877125378
1879.4583,6765,6709.149358631245
1879.5417,6815,6736.140959680861
1879.625,6745,6736.846213957429
1879.7083,6735,6734.833539553141
1879.7917,6775,6732.7653783332335
1879.875,6755,6716.619009891071
1879.9583,6675,6687.678978079266
1880.0417,6615,6662.965272293883
1880.125,6695,6654.239990606461
1880.2083,6525,6631.928039121193
1880.2917,6625,6645.25876734299
1880.375,6625,6665.342418012449
1880.4583,6735,6698.873541352725
1880.5417,6735,6720.362511810576
1880.625,6705,6736.972319538619
1880.7083,6745,6764.239567112868
1880.7917,6845,6797.920003724739
1880.875,6915,6815.907108244856
1880.9583,7085,6800.863248846594
1881.125,6493,6691.107139063862
1881.2083,6595,6647.386742302417
1881.2917,6523,6621.128592975111
1881.375,6531,6627.579974639509
1881.4583,6659,6666.224681183743
1881.5417,6729,6707.2776147892255
1881.625,6886,6741.08975332445
1881.7083,6638,6726.598476301157
1881.7917,6749,6741.640024711583
1881.875,6799,6754.22824802587
1881.9583,6765,6751.892554015447
1882.0417,6750,6745.187711343506
1882.125,6785,6736.878772452733
1882.2083,6750,6712.529424379538
1882.2917,6550,6675.689884432856
1882.375,6620,6680.74697263046
1882.4583,6740,6706.053051704883
1882.5417,6700,6720.0434813475995
1882.625,6915,6740.715071439516
1882.7083,6655,6703.291685344603
1882.7917,6625,6681.965527697892
1882.875,6805,6679.627879283811
1882.9583,6520,6635.499523964335
1883.0417,6600,6629.871009966303
1883.125,6560,6634.199499290372
1883.2083,6525,6663.261155044565
1883.875,6860,6738.409862480281
1883.9583,6945,6773.02852407609
1884.0417,6895,6750.32336036393
1884.2083,6505,6679.3926501064125
1884.375,6635,6666.592823217698
1884.4583,6655,6664.32393740155
1884.5417,6635,6665.163030719253
1884.625,6615,6676.056467610039
1884.7083,6685,6707.30206037084
1884.7917,6875,6745.9816732552545
1884.9583,6835,6741.655177224753
1885.125,6690,6706.213740269169
1885.2083,6665,6676.176883403307
1885.2917,6532,6649.865654338549
1885.375,6691,6662.842976719972
1885.4583,6653,6666.434624674721
1885.5417,6616,6674.504480854376
1885.625,6725,6702.075830652157
1885.7083,6758,6722.005790667322
1885.7917,6820,6729.937680904928
1885.875,6565,6707.848798110845
1885.9583,6879,6733.3761813537085
1886.0417,6704,6710.362291714476
1886.2917,6586,6689.469165980068
1886.4583,6716,6703.065762239017
1886.5417,6731,6712.350945910971
1886.625,6715,6715.419778219915
1886.7083,6715,6718.628536602165
1886.875,6731,6723.046807185136
1886.9583,6917,6724.814013496485
1887.125,6543,6662.519224306663
1887.2083,6593,6640.064176552394
1887.2917,6580,6633.297187648924
1887.375,6613,6644.295927961761
1887.4583,6636,6665.726644261851
1887.5417,6675,6697.066241982559
1887.625,6770,6735.761253697453
1887.7083,6784,6763.043349978165
1887.7917,6932,6783.339896251598
1887.875,6704,6754.083074608897
1887.9583,6882,6741.520611169161
1888.0417,6640,6682.131684785813
1888.2083,6523,6636.786653331071
1888.2917,6562,6629.370506320019
1888.375,6626,6644.411194748973
1888.4583,6586,6665.5889480942515
1888.5417,6818,6713.296350804281
1888.625,6791,6726.1025371157375
1888.7083,6650,6717.276235799107
1888.7917,6823,6730.875346415512
1888.875,6665,6713.76623917042
1888.9583,6735,6712.912544982134
1889.0417,6622,6704.696365787893
1889.125,6893,6724.0456418562835
1889.2083,6677,6687.076798543436
1889.2917,6564,6653.4668880784
1889.375,6573,6649.679273639497
1889.4583,6629,6671.451417080428
1889.5417,6724,6707.374032881501
1889.625,6826,6737.754659643075
1889.7083,6821,6738.720172952339
1889.7917,6616,6712.259077245717
1889.875,6749,6717.884340621001
1889.9583,6648,6713.137717536619
1890.0417,6838,6730.103666964443
1890.2083,6708,6711.104172047081
1890.2917,6649,6693.139401145413
1890.375,6651,6689.887763958884
1890.4583,6674,6699.598714758648
1890.5417,6763,6717.842570477963
1890.625,6728,6721.033949689932
1890.7083,6638,6721.903312131879
1890.7917,6945,6750.740445284452
1890.875,6686,6714.824393531843
1891.0417,6668,6688.516472956515
1891.125,6529,6669.047376700026
1891.2083,6815,6696.260739343545
1891.375,6626,6683.894348434912
1891.4583,6622,6690.82607367125
1891.5417,6748,6720.699823464672
1891.625,6803,6741.473514412984
1891.7083,6778,6741.738376832291
1891.7917,6689,6729.916031529028
1891.875,6664,6731.732363402109
1891.9583,6889,6756.1261497425585
1892.0417,6785,6736.228652663861
1892.125,6729,6700.074039806451
1892.2083,6518,6654.2774402178575
1892.2917,6617,6653.906654035217
1892.375,6646,6665.838085864316
1892.4583,6712,6684.38221298152
1892.5417,6681,6693.720411092564
1892.625,6723,6707.298746234464
1892.7083,6726,6715.643330121184
1892.7917,6756,6720.535690714965
1892.875,6653,6713.606614880402
1892.9583,6805,6726.879744005973
1893.0417,6641,6714.112787800202
1893.125,6786,6725.7167608611635
1893.2083,6799,6717.226320875846
1893.2917,6576,6681.477987849144
1893.375,6637,6680.888984105489
1893.4583,6664,6694.92964173033
1893.5417,6687,6719.280179931949
1893.625,6756,6754.390778110883
1893.7083,6828,6788.964968993444
1893.7917,6957,6810.52748287382
1893.875,6803,6783.265824378804
1893.9583,6748,6749.426107343388
1894.0417,6615,6716.061759422436
1894.125,6842,6716.384664642294
1894.2083,6659,6674.835791409585
1894.2917,6519,6638.565515313404
1894.375,6576,6642.150410988357
1894.4583,6674,6667.78544365943
1894.5417,6683,6691.348957550312
1894.625,6786,6717.695457291298
1894.7083,6718,6721.273776129384
1894.7917,6671,6725.943353677264
1894.875,6795,6748.927382450898
1894.9583,6956,6756.553872041499
1895.125,6553,6697.698318979265
1895.2083,6661,6687.075538910121
1895.2917,6672,6685.144605144351
1895.375,6643,6687.595206426698
1895.4583,6658,6704.910876517943
1895.5417,6812,6737.863505448502
1895.625,6770,6746.103969528563
1895.7083,6706,6746.379090118144
1895.7917,6887,6760.113907413772
1895.875,6624,6731.553360513992
1895.9583,6830,6738.843933785542
1896.0417,6728,6715.749151652272
1896.125,6548,6688.5707534030935
1896.2083,6779,6708.249272954946
1896.2917,6704,6704.344216825114
1896.375,6657,6700.553899636986
1896.4583,6716,6711.28154899452
1896.5417,6730,6720.436381350228
1896.625,6731,6726.403340822678
1896.7083,6818,6730.838080569354
1896.7917,6717,6706.218847172481
1896.875,6677,6678.005896166435
1896.9583,6602,6650.128243882536
1897.0417,6531,6638.293339559481
1897.125,6682,6662.222881756253
1897.2083,6732,6679.56005120511
1897.2917,6615,6679.417237722336
1897.375,6732,6700.746836813674
1897.4583,6672,6711.658714842904
1897.5417,6782,6735.790164486437
1897.625,6736,6744.518335625447
1897.7083,6851,6756.085951972941
1897.7917,6669,6736.0155523114145
1897.875,6703,6738.283670087026
1897.9583,6703,6752.31301122498
1898.0417,6843,6782.7800227712605
1898.125,6999,6793.173708574627
1898.2083,6635,6734.958630569537
1898.2917,6582,6710.063096087624
1898.375,6765,6727.855260301586
1898.4583,6704,6733.265844616077
1898.5417,6837,6748.431710469259
1898.625,6751,6734.0748131455275
1898.7083,6734,6714.076186870306
1898.7917,6586,6687.436289551853
1898.875,6643,6694.608488750685
1899.0417,6837,6718.983517533078
1899.125,6676,6704.019718826498
1899.2083,6701,6698.395826395417
1899.2917,6686,6691.903876096142
1899.375,6647,6687.379884495582
1899.4583,6666,6696.315854393548
1899.5417,6703,6715.357109089363
1899.625,6700,6738.5174001483
1899.7083,6901,6774.516824590003
1899.7917,6773,6768.355190561707
1899.875,6927,6760.645286720647
1899.9583,6571,6697.483811786469
1900.0417,6693,6676.483607447782
1900.125,6609,6649.977938925021
1900.2083,6599,6637.131583377266
1900.2917,6593,6636.995755621933
1900.375,6634,6651.525179740578
1900.4583,6637,6671.8963304394165
1900.5417,6714,6703.899591284727
1900.625,6707,6732.536049224946
1900.7083,6812,6769.68452357348
1900.7917,6960,6792.727839113174
1900.875,6650,6760.013767690592
1900.9583,6907,6763.970952164875
1901.0417,6716,6720.251787360781
1901.125,6658,6677.949885010283
1901.2083,6547,6642.297944329878
1901.2917,6651,6638.411985092766
1901.375,6546,6630.330020886577
1901.4583,6661,6650.358063642579
1901.5417,6609,6666.83879427944
1901.625,6738,6702.599123009448
1901.7083,6653,6726.559159409272
1901.7917,6793,6775.038915612186
1901.875,6932,6817.53164368583
1901.9583,6814,6821.868252988084
1902.0417,7043,6828.827613286367
1902.2083,6755,6764.396178013438
1902.2917,6513,6703.096802078321
1902.375,6725,6705.163026835979
1902.4583,6647,6700.616927205629
1902.5417,6770,6713.943136643822
1902.625,6728,6708.58372496329
1902.7083,6596,6696.752221603853
1902.7917,6666,6718.504792112368
1903.0417,6765,6757.758959991671
1903.125,6947,6794.599447868199
1903.2083,6726,6780.639751700793
1903.2917,6908,6784.893306100318
1903.375,6646,6748.111295866616
1903.4583,6645,6745.36638425512
1903.5417,6787,6776.076934061995
1903.625,6890,6803.146461889537
1903.7083,6730,6801.264810346925
1903.7917,6884,6823.13809558662
1903.875,6984,6824.724079355188
1904.0417,6680,6773.2180895754855
1904.125,6745,6752.784796320944
1904.2917,6754,6734.946435173384
1904.375,6658,6710.756885750285
1904.4583,6691,6704.152964910614
1904.5417,6642,6701.933365707814
1904.625,6722,6719.691555074286
1904.7917,6727,6736.680262798854
1904.875,6856,6756.895724789706
1904.9583,6800,6744.076428377126
1905.0417,6725,6712.615941423588
1905.125,6704,6677.02743494458
1905.2083,6504,6632.448073447097
1905.2917,6641,6630.684736431981
1905.375,6569,6625.482978227525
1905.4583,6602,6639.108879432243
1905.5417,6701,6665.104407114376
1905.625,6662,6679.1347371679685
1905.7083,6672,6698.87664627755
1905.7917,6812,6727.577437479648
1906.0417,6731,6728.1373745082965
1906.125,6676,6727.743103039711
1906.2083,6862,6744.596532584362
1906.4583,6641,6722.315472990466
1906.5417,6724,6727.139571060059
1906.625,6753,6733.0101928163385
1906.7083,6685,6732.2175455113975
1906.7917,6723,6747.16408004359
1906.875,6798,6770.165307923645
1906.9583,6887,6783.888305111582
1907.0417,6767,6763.240737336712
1907.125,6777,6741.340082007414
1907.2083,6685,6707.552787347253
1907.2917,6595,6681.28308846951
1907.375,6645,6683.774419081604
1907.4583,6715,6699.190556054233
1907.5417,6715,6709.336878378272
1907.625,6814,6717.595493495069
1907.7083,6647,6693.719273110221
1907.7917,6665,6685.416143762114
1907.875,6617,6683.918395668045
1907.9583,6677,6704.726779463325
1908.0417,6770,6734.777423079713
1908.125,6914,6753.087207722672
1908.2917,6666,6717.759394939855
1908.375,6660,6699.684713803656
1908.4583,6660,6694.838270602009
1908.5417,6697,6701.6045842676995
1908.625,6794,6709.905759355956
1908.7083,6672,6690.175520896198
1908.7917,6529,6676.503789401839
1908.875,6854,6711.999987708093
1908.9583,6641,6700.162848583711
1909.0417,6813,6708.046658987233
1909.125,6645,6680.946022386499
1909.2083,6601,6665.8273932479315
1909.2917,6666,6672.317895192008
1909.375,6601,6680.914362200087
1909.4583,6684,6716.14894994153
1909.5417,6840,6762.099854330148
1909.625,6809,6782.084043495483
1909.7083,6767,6793.09624715931
1909.7917,6838,6812.807199876242
1909.875,6877,6824.120552551921
1909.9583,6812,6817.807422744907
1910.0417,6923,6813.430100519528
1910.125,6785,6772.529478467327
1910.2083,6614,6727.472015904234
1910.2917,6694,6720.238558642552
1910.375,6673,6721.751287595053
1910.4583,6746,6739.5144457459055
1910.5417,6809,6755.115752478726
1910.625,6751,6752.7556433711225
1910.7083,6754,6750.98074872056
1910.7917,6610,6748.19943697685
1910.875,6921,6791.484604225424
1910.9583,6815,6791.597972882472
1911.0417,6727,6783.910665833679
1911.125,6969,6795.193580729445
1911.2083,6639,6748.541022535026
1911.2917,6738,6738.40213851895
1911.375,6671,6728.397300675856
1911.4583,6722,6737.524896391381
1911.5417,6726,6751.827457570699
1911.625,6800,6774.739171273584
1911.7083,6829,6789.230608734331
1911.7917,6784,6790.465582439855
1911.875,6869,6793.8557502919975
1911.9583,6775,6772.197834908139
1912.0417,6578,6749.605864493659
1912.125,6826,6784.2158489103995
1912.2083,6879,6804.897782963939
1912.2917,6803,6800.8789780054585
1912.375,6778,6796.153165715465
1912.4583,6774,6797.478408663959
1912.5417,6741,6806.629787833774
1912.625,6875,6837.657762948178
1912.7083,6859,6856.238325711976
1912.7917,6818,6873.898330379766
1912.875,7035,6910.191111840812
1912.9583,7077,6904.880930582127
1913.125,6773,6842.197726184152
1913.2083,6837,6802.580430514228
1913.2917,6669,6751.489945015714
1913.375,6593,6727.89610785577
1913.4583,6774,6749.267639981084
1913.5417,6796,6762.395052100093
1913.625,6771,6764.320814919134
1913.7083,6668,6764.020182711219
1913.7917,6764,6795.726278073709
1913.9583,7072,6838.007799460769
1914.0417,6740,6802.291920668086
1914.125,6783,6787.340015431432
1914.2083,6803,6773.834782005256
1914.2917,6698,6750.607809247498
1914.375,6706,6744.9167729055725
1914.4583,6719,6752.197994198838
1914.5417,6803,6770.545213558384
1914.625,6710,6778.074170770724
1914.7083,6924,6808.294518239973
1914.7917,6685,6799.946371789212
1914.875,6902,6829.913682601523
1914.9583,6928,6835.852220947674
1915.0417,6915,6811.074832943051
1915.125,6626,6751.655722586111
1915.2083,6751,6734.121853091207
1915.2917,6672,6710.961934626706
1915.375,6624,6700.789327704441
1915.4583,6675,6716.213163350323
1915.5417,6808,6745.374720112979
1915.625,6827,6753.661183579961
1915.7083,6731,6737.501374906931
1915.7917,6539,6723.508691202877
1915.875,6885,6771.018904566449
1915.9583,6850,6780.5354194521715
1916.125,6766,6766.897074155285
1916.2083,6723,6753.557753576825
1916.2917,6735,6750.404350857309
1916.375,6706,6752.385731756895
1916.4583,6808,6769.829023242114
1916.5417,6747,6774.548655808037
1916.625,6827,6788.451173643307
1916.7083,6802,6789.504082693013
1916.7917,6848,6786.391685973721
