time,value,kalman_value
1865.0417,6855,6792.59741016752
1865.2083,6585,6722.394496605981
1865.375,6655,6703.7145192716835
1865.5417,6715,6703.302486664267
1865.625,6705,6698.503886555952
1865.7083,6665,6691.269243906118
1865.7917,6695,6693.885567721079
1865.875,6705,6696.083979431443
1865.9583,6575,6694.938883428599
1866.0417,6855,6738.77086871148
1866.125,6895,6739.0169297611665
1866.2917,6525,6680.76933947129
1866.375,6635,6680.935251483146
1866.4583,6645,6698.326882801182
1866.5417,6785,6735.716095169662
1866.625,6805,6754.6238432267655
1866.7083,6805,6754.640532493907
1866.7917,6565,6735.772421446263
1866.9583,6925,6780.943968440967
1867.0417,6685,6772.094503601034
1867.125,6905,6795.90547761149
1867.2917,6845,6778.806005726254
1867.375,6605,6736.883785988363
1867.4583,6705,6744.41798599611
1867.5417,6825,6766.733930752397
1867.625,6685,6767.200099540833
1867.7083,6805,6798.491305657083
1867.7917,6865,6827.341751394739
1867.875,6965,6842.070353905421
1867.9583,6815,6810.700339130636
1868.0417,6655,6777.717951529839
1868.125,6955,6790.754795752732
1868.2083,6715,6742.1996883829
1868.2917,6645,6703.844464156654
1868.375,6605,6687.555913989155
1868.4583,6705,6702.225831567588
1868.5417,6705,6715.855435983868
1868.625,6765,6733.555828894098
1868.7083,6695,6739.464657639614
1868.7917,6875,6762.047732999987
1868.875,6805,6742.273708235354
1868.9583,6705,6698.977324058978
1869.0417,6575,6653.4224364047195
1869.2917,6525,6637.275962402231
1869.375,6645,6663.2329743005785
1869.4583,6725,6696.027351561643
1869.5417,6645,6717.956985658324
1869.625,6735,6767.245489376875
1869.7083,6865,6828.626051611756
1869.7917,6985,6876.366383201046
1869.875,7125,6883.369108490728
1869.9583,6775,6799.7602494644325
1870.0417,6635,6725.4364839873
1870.2083,6625,6685.026400005403
1870.2917,6605,6667.126216025533
1870.375,6655,6672.523363055238
1870.4583,6685,6684.491771230659
1870.5417,6645,6696.269593617576
1870.625,6775,6727.273513611083
1870.7083,6765,6740.380001208747
1870.7917,6865,6744.25398925969
1870.875,6755,6702.8482232830165
1870.9583,6585,6641.885541037474
1871.0417,6485,6602.2549366809835
1871.125,6565,6606.594933579861
1871.2083,6605,6626.533030571187
1871.2917,6675,6654.546014026709
1871.375,6665,6674.888752742246
1871.4583,6725,6698.939773736125
1871.5417,6755,6713.218209881052
1871.625,6725,6711.828474731372
1871.7083,6725,6705.499417605957
1871.7917,6645,6691.857642082777
1871.875,6685,6695.787482340637
1871.9583,6775,6703.762628476236
1872.0417,6645,6685.023760290424
1872.2083,6645,6681.293802213521
1872.2917,6705,6691.174019966689
1872.375,6675,6695.869495207366
1872.4583,6665,6708.391031150803
1872.5417,6745,6737.184203775792
1872.625,6745,6763.046452816705
1872.7083,6945,6795.6761216638815
1872.7917,6745,6772.309336135013
1872.875,6825,6759.183551656774
1872.9583,6685,6721.376599049826
1873.0417,6745,6697.210871086562
1873.125,6525,6655.12421978076
1873.2917,6585,6661.8341508927415
1873.375,6695,6697.356888589501
1873.4583,6745,6733.763459507323
1873.5417,6755,6765.956327740392
1873.625,6825,6802.257818876108
1873.7083,6875,6830.030992090365
1873.7917,6865,6840.940787338507
1873.875,6865,6842.828377838589
1873.9583,6885,6836.401610028143
1874.0417,6925,6811.75044597825
1874.125,6585,6744.630699170201
1874.2083,6785,6737.372464550977
1874.2917,6695,6712.253904138371
1874.375,6585,6693.605557777652
1874.4583,6725,6715.684295583555
1874.5417,6705,6734.269644233289
1874.625,6805,6763.831109470508
1874.7083,6805,6777.954240759166
1874.7917,6875,6781.935212332512
1874.875,6745,6751.016888530549
1874.9583,6735,6722.354897927543
1875.0417,6704,6688.950994047365
1875.2083,6565,6649.903712934949
1875.2917,6591,6642.695324173138
1875.375,6660,6654.872681976254
1875.4583,6668,6665.127295520465
1875.5417,6656,6674.304644884851
1875.625,6704,6690.346236081055
1875.7083,6733,6701.267665807655
1875.7917,6617,6700.289470212126
1875.875,6801,6730.544825946143
1875.9583,6770,6734.3794914099635
1876.125,6685,6724.8564661525215
1876.2083,6885,6730.279615702275
1876.2917,6555,6677.682621140381
1876.375,6575,6671.091609506131
1876.4583,6685,6700.53495143668
1876.5417,6765,6735.803900155983
1876.625,6785,6760.12431143378
1876.7083,6855,6775.116339499245
1876.7917,6745,6760.151994876928
1876.875,6685,6750.869648333459
1876.9583,6625,6766.288419915036
1877.125,7065,6834.690348964751
1877.2083,6885,6816.726158876249
1877.2917,6675,6773.159278366341
1877.375,6705,6766.40212724381
1877.4583,6765,6782.670773837709
1877.5417,6825,6805.565960620749
1877.625,6845,6821.17338263657
1877.7083,6825,6827.845823141104
1877.7917,6905,6835.585447323553
1877.875,6865,6817.294614252334
1877.9583,6725,6781.114261525741
1878.0417,6805,6765.9767568713005
1878.125,6635,6736.205536043598
1878.375,6715,6744.386391232244
1878.4583,6765,6763.5871431329815
1878.5417,6845,6782.258073708587
1878.625,6765,6777.400781924914
1878.7083,6865,6777.193783363083
1878.7917,6745,6744.059453562409
1878.875,6705,6710.572418847637
1878.9583,6725,6679.1750412007295
1879.0417,6525,6630.593304004096
1879.125,6615,6621.609055808999
1879.2083,6545,6615.103203542277
1879.2917,6615,6634.886052603909
1879.375,6605,6662.126171392006
1879.4583,6765,6710.788604452106
1879.5417,6815,6739.121764181746
1879.625,6745,6739.00058547954
1879.7083,6735,6736.629626332162
1879.7917,6775,6734.869777059344
1879.875,6755,6718.061094183782
1879.9583,6675,6687.400321627138
1880.0417,6615,6661.3896696806705
1880.125,6695,6652.775143864455
1880.2083,6525,6628.3262969974085
1880.2917,6625,6642.624811504391
1880.375,6625,6663.53263032552
1880.4583,6735,6698.89018551872
1880.5417,6735,6720.706560281438
1880.625,6705,6737.162895149698
1880.7083,6745,6765.680315699093
1880.7917,6845,6801.952854635648
1880.875,6915,6822.08271406057
1880.9583,7085,6807.368591258206
1881.125,6493,6688.54269017767
1881.2083,6595,6643.045297913761
1881.2917,6523,6615.564892367513
1881.375,6531,6622.796321459082
1881.4583,6659,6664.451371097806
1881.5417,6729,6708.150684898208
1881.625,6886,6744.031505535437
1881.7083,6638,6726.674140748454
1881.7917,6749,6742.569578742141
1881.875,6799,6756.05360876413
1881.9583,6765,6753.432742072669
1882.0417,6750,6746.474153658458
1882.125,6785,6738.193372866169
1882.2083,6750,6712.360106898694
1882.2917,6550,6672.411881018229
1882.375,6620,6678.3681105196
1882.4583,6740,6706.212381465822
1882.5417,6700,6721.386295461726
1882.625,6915,6744.580070255778
1882.7083,6655,6703.866371395747
1882.7917,6625,6681.477561809121
1882.875,6805,6680.267837900915
1882.9583,6520,6632.283553205552
1883.0417,6600,6626.405600962273
1883.125,6560,6630.429749079845
1883.2083,6525,6660.8650531023595
1883.875,6860,6742.2497520382585
1883.9583,6945,6779.478107988504
1884.0417,6895,6754.635754434439
1884.2083,6505,6677.156808793289
1884.375,6635,6664.236666449623
1884.4583,6655,6662.280274024565
1884.5417,6635,6663.05398435872
1884.625,6615,6674.347938827395
1884.7083,6685,6707.897370356343
1884.7917,6875,6750.03331576892
1884.9583,6835,6745.306754594842
1885.125,6690,6706.945226393829
1885.2083,6665,6674.938158090502
1885.2917,6532,6646.657899071113
1885.375,6691,6661.374352203393
1885.4583,6653,6664.981187411944
1885.5417,6616,6673.080967899975
1885.625,6725,6702.586111350497
1885.7083,6758,6723.686046557455
1885.7917,6820,6731.918249223458
1885.875,6565,6707.119795348258
1885.9583,6879,6735.616264728656
1886.0417,6704,6710.343833382298
1886.2917,6586,6687.4503395543015
1886.4583,6716,6702.600723059169
1886.5417,6731,6712.726377711223
1886.625,6715,6715.999424004986
1886.7083,6715,6719.647254300619
1886.875,6731,6725.037804958984
1886.9583,6917,6728.192532476969
1887.125,6543,6660.544459673817
1887.2083,6593,6636.975559248346
1887.2917,6580,6629.897493541004
1887.375,6613,6641.530987911538
1887.4583,6636,6663.8636027489
1887.5417,6675,6696.645068617099
1887.625,6770,6737.54343521671
1887.7083,6784,6766.270590022587
1887.7917,6932,6788.349216086935
1887.875,6704,6756.558798183883
1887.9583,6882,6744.477929599787
1888.0417,6640,6680.826284615611
1888.2083,6523,6632.48449636229
1888.2917,6562,6625.199394244827
1888.375,6626,6641.614064969174
1888.4583,6586,6663.884010056961
1888.5417,6818,6715.36045891611
1888.625,6791,6728.347079868799
1888.7083,6650,6717.8388557722865
1888.7917,6823,6732.770202590383
1888.875,6665,6713.865375379872
1888.9583,6735,6713.2850639368135
1889.0417,6622,6704.56165147006
1889.125,6893,6726.798858304578
1889.2083,6677,6686.710637003313
1889.2917,6564,6650.263904578292
1889.375,6573,6646.16613637013
1889.4583,6629,6669.5056693007655
